member_full,office_locations,state_and_district,name,last_name,first_name,middle_name,suffix,party,capitol_address,capitol_city,capitol_state,capitol_zip,bioguide_id,office_location_ids
"MD04 Anthony G. Brown, D",,MD04,Anthony G. Brown,Brown,Anthony,G.,,D,1505 Longworth House Office Building,Washington,DC,20515-2004,B001304,
"MD05 Steny H. Hoyer, D",,MD05,Steny H. Hoyer,Hoyer,Steny,H.,,D,1705 Longworth House Office Building,Washington,DC,20515-2005,H000874,
"MD06 John K. Delaney, D",,MD06,John K. Delaney,Delaney,John,K.,,D,1632 Longworth House Office Building,Washington,DC,20515-2006,D000620,
"MD07 Elijah E. Cummings, D",,MD07,Elijah E. Cummings,Cummings,Elijah,E.,,D,2163 Rayburn House Office Building,Washington,DC,20515-2007,C000984,
"MD08 Jamie Raskin, D","WASHINGTON, DC OFFICE, ROCKVILLE OFFICE",MD08,Jamie Raskin,Raskin,Jamie,,,D,431 Cannon House Office Building,Washington,DC,20515-2008,R000606,"191,192"
"ME01 Chellie Pingree, D","Portland Office , Waterville Office, Washington, DC Office",ME01,Chellie Pingree,Pingree,Chellie,,,D,2162 Rayburn House Office Building,Washington,DC,20515-1901,P000597,"193,194,195"
"ME02 Bruce Poliquin, R","WASHINGTON, DC OFFICE, BANGOR OFFICE, LEWISTON OFFICE, PRESQUE ISLE OFFICE",ME02,Bruce Poliquin,Poliquin,Bruce,,,R,1208 Longworth House Office Building,Washington,DC,20515-1902,P000611,"196,197,198,199"
"MI01 Jack Bergman, R",WASHINGTON DC,MI01,Jack Bergman,Bergman,Jack,,,R,414 Cannon House Office Building,Washington,DC,20515-2201,B001301,200
"MI02 Bill Huizenga, R",Grandville office,MI02,Bill Huizenga,Huizenga,Bill,,,R,2232 Rayburn House Office Building,Washington,DC,20515-2202,H001058,32
"MI03 Justin Amash, R","Grand Rapids, MI office",MI03,Justin Amash,Amash,Justin,,,R,114 Cannon House Office Building,Washington,DC,20515-2203,A000367,28
"MI04 John R. Moolenaar, R",Cadillac office,MI04,John R. Moolenaar,Moolenaar,John,R.,,R,117 Cannon House Office Building,Washington,DC,20515-2204,M001194,37
"MI05 Daniel T. Kildee, D",Flint office,MI05,Daniel T. Kildee,Kildee,Daniel,T.,,D,227 Cannon House Office Building,Washington,DC,20515-2205,K000380,33
"MI06 Fred Upton, R",Kalamazoo,MI06,Fred Upton,Upton,Fred,,,R,2183 Rayburn House Office Building,Washington,DC,20515-2206,U000031,39
"MI07 Tim Walberg, R",Jackson office,MI07,Tim Walberg,Walberg,Tim,,,R,2436 Rayburn House Office Building,Washington,DC,20515-2207,W000798,40
"MI08 Mike Bishop, R",Brighton Office,MI08,Mike Bishop,Bishop,Mike,,,R,428 Cannon House Office Building,Washington,DC,20515-2208,B001293,29
"MI09 Sander M. Levin, D",Roseville office,MI09,Sander M. Levin,Levin,Sander,M.,,D,1236 Longworth House Office Building,Washington,DC,20515-2209,L000263,35
"MI10 Paul Mitchell, R",Washington MI office,MI10,Paul Mitchell,Mitchell,Paul,,,R,211 Cannon House Office Building,Washington,DC,20515-2210,M001201,36
"MI11 David A. Trott, R",Troy office,MI11,David A. Trott,Trott,David,A.,,R,1722 Longworth House Office Building,Washington,DC,20515-2211,T000475,38
"MI12 Debbie Dingell, D",Dearborn office,MI12,Debbie Dingell,Dingell,Debbie,,,D,116 Cannon House Office Building,Washington,DC,20515-2212,D000624,31
"MI13 John  Conyers, Jr., D",Detroit office,MI13,"John  Conyers, Jr.",Conyers,John,,Jr.,D,2426 Rayburn House Office Building,Washington,DC,20515-2213,C000714,30
"MI14 Brenda L. Lawrence, D",Southfield office,MI14,Brenda L. Lawrence,Lawrence,Brenda,L.,,D,1213 Longworth House Office Building,Washington,DC,20515-2214,L000581,34
"MN01 Timothy J. Walz, D","Washington, DC Office",MN01,Timothy J. Walz,Walz,Timothy,J.,,D,2313 Rayburn House Office Building,Washington,DC,20515-2301,W000799,201
"MN02 Jason Lewis, R","WASHINGTON, DC OFFICE, BURNSVILLE OFFICE",MN02,Jason Lewis,Lewis,Jason,,,R,418 Cannon House Office Building,Washington,DC,20515-2302,L000587,"202,203"
"MN03 Erik Paulsen, R"," Washington, DC , District Office",MN03,Erik Paulsen,Paulsen,Erik,,,R,127 Cannon House Office Building,Washington,DC,20515-2303,P000594,"204,205"
"MN04 Betty McCollum, D","Washington, DC Office, St. Paul Office",MN04,Betty McCollum,McCollum,Betty,,,D,2256 Rayburn House Office Building,Washington,DC,20515-2304,M001143,"206,207"
"MN05 Keith Ellison, D","Washington, DC Office, Minneapolis Office",MN05,Keith Ellison,Ellison,Keith,,,D,2263 Rayburn House Office Building,Washington,DC,20515-2305,E000288,"208,209"
"MN06 Tom Emmer, R","Washington, D.C. Office, District Office",MN06,Tom Emmer,Emmer,Tom,,,R,315 Cannon House Office Building,Washington,DC,20515-2306,E000294,"210,211"
"MN07 Collin C. Peterson, D","Washington, DC Office, Marshall District Office, Redwood Falls District Office, Detroit Lakes District Office, Montevideo District Office, Willmar District Office ",MN07,Collin C. Peterson,Peterson,Collin,C.,,D,2204 Rayburn House Office Building,Washington,DC,20515-2307,P000258,"212,213,214,215,216,217"
"MN08 Richard M. Nolan, D",,MN08,Richard M. Nolan,Nolan,Richard,M.,,D,2366 Rayburn House Office Building,Washington,DC,20515-2308,N000127,
"MO01 Wm. Lacy Clay, D",,MO01,Wm. Lacy Clay,Clay,Wm.,Lacy,,D,2428 Rayburn House Office Building,Washington,DC,20515-2501,C001049,
"MO02 Ann Wagner, R",,MO02,Ann Wagner,Wagner,Ann,,,R,435 Cannon House Office Building,Washington,DC,20515-2502,W000812,
"MO03 Blaine Luetkemeyer, R",,MO03,Blaine Luetkemeyer,Luetkemeyer,Blaine,,,R,2230 Rayburn House Office Building,Washington,DC,20515-2503,L000569,
"MO04 Vicky Hartzler, R",,MO04,Vicky Hartzler,Hartzler,Vicky,,,R,2235 Rayburn House Office Building,Washington,DC,20515-2504,H001053,
"MO05 Emanuel Cleaver, D",,MO05,Emanuel Cleaver,Cleaver,Emanuel,,,D,2335 Rayburn House Office Building,Washington,DC,20515-2505,C001061,
"MO06 Sam Graves, R",,MO06,Sam Graves,Graves,Sam,,,R,1135 Longworth House Office Building,Washington,DC,20515-2506,G000546,
"MO07 Billy Long, R",,MO07,Billy Long,Long,Billy,,,R,2454 Rayburn House Office Building,Washington,DC,20515-2507,L000576,
"MO08 Jason Smith, R",,MO08,Jason Smith,Smith,Jason,,,R,1118 Longworth House Office Building,Washington,DC,20515-2508,S001195,
"MP00 Gregorio Kilili Camacho Sablan, D",,MP00,Gregorio Kilili Camacho Sablan,Sablan,Gregorio,Kilili Camacho,,D,2411 Rayburn House Office Building,Washington,DC,20515-5201,S001177,
"MS01 Trent Kelly, R",,MS01,Trent Kelly,Kelly,Trent,,,R,1721 Longworth House Office Building,Washington,DC,20515-2401,K000388,
"MS02 Bennie G. Thompson, D",,MS02,Bennie G. Thompson,Thompson,Bennie,G.,,D,2466 Rayburn House Office Building,Washington,DC,20515-2402,T000193,
"MS03 Gregg Harper, R",,MS03,Gregg Harper,Harper,Gregg,,,R,2227 Rayburn House Office Building,Washington,DC,20515-2403,H001045,
"MS04 Steven M. Palazzo, R",,MS04,Steven M. Palazzo,Palazzo,Steven,M.,,R,2349 Rayburn House Office Building,Washington,DC,20515-2404,P000601,
"MT00 Ryan K. Zinke, R",,MT00,Ryan K. Zinke,Zinke,Ryan,K.,,R,1419 Longworth House Office Building,Washington,DC,20515-2600,Z000018,
"NC01 G. K. Butterfield, D",,NC01,G. K. Butterfield,Butterfield,G.,K.,,D,2080 Rayburn House Office Building,Washington,DC,20515-3301,B001251,
"NC02 George Holding, R",,NC02,George Holding,Holding,George,,,R,1110 Longworth House Office Building,Washington,DC,20515-3302,H001065,
"NC03 Walter B. Jones, R",,NC03,Walter B. Jones,Jones,Walter,B.,,R,2333 Rayburn House Office Building,Washington,DC,20515-3303,J000255,
"NC04 David E. Price, D",,NC04,David E. Price,Price,David,E.,,D,2108 Rayburn House Office Building,Washington,DC,20515-3304,P000523,
"NC05 Virginia Foxx, R",,NC05,Virginia Foxx,Foxx,Virginia,,,R,2262 Rayburn House Office Building,Washington,DC,20515-3305,F000450,
"NC06 Mark Walker, R",,NC06,Mark Walker,Walker,Mark,,,R,1305 Longworth House Office Building,Washington,DC,20515-3306,W000819,
"NC07 David Rouzer, R",,NC07,David Rouzer,Rouzer,David,,,R,424 Cannon House Office Building,Washington,DC,20515-3307,R000603,
"NC08 Richard Hudson, R",,NC08,Richard Hudson,Hudson,Richard,,,R,429 Cannon House Office Building,Washington,DC,20515-3308,H001067,
"NC09 Robert Pittenger, R",,NC09,Robert Pittenger,Pittenger,Robert,,,R,224 Cannon House Office Building,Washington,DC,20515-3309,P000606,
"NC10 Patrick T. McHenry, R",,NC10,Patrick T. McHenry,McHenry,Patrick,T.,,R,2334 Rayburn House Office Building,Washington,DC,20515-3310,M001156,
"NC11 Mark Meadows, R",,NC11,Mark Meadows,Meadows,Mark,,,R,1024 Longworth House Office Building,Washington,DC,20515-3311,M001187,
"NC12 Alma S. Adams, D","Charlotte District Office, Greensboro District Office",NC12,Alma S. Adams,Adams,Alma,S.,,D,222 Cannon House Office Building,Washington,DC,20515-3312,A000370,"73,76"
"NC13 Ted Budd, R",,NC13,Ted Budd,Budd,Ted,,,R,118 Cannon House Office Building,Washington,DC,20515-3313,B001305,
"ND00 Kevin Cramer, R","Bismarck, Fargo, Grand Forks, Minot",ND00,Kevin Cramer,Cramer,Kevin,,,R,1717 Longworth House Office Building,Washington,DC,20515-3400,C001096,"79,81,82,83"
"NE01 Jeff Fortenberry, R","Fremont Office, Lincoln Office, Norfolk Office",NE01,Jeff Fortenberry,Fortenberry,Jeff,,,R,1514 Longworth House Office Building,Washington,DC,20515-2701,F000449,"84,85,86"
"NE02 Don Bacon, R",OMAHA OFFICE,NE02,Don Bacon,Bacon,Don,,,R,1516 Longworth House Office Building,Washington,DC,20515-2702,B001298,87
"NE03 Adrian Smith, R","Grand Island, Scottsbluff",NE03,Adrian Smith,Smith,Adrian,,,R,320 Cannon House Office Building,Washington,DC,20515-2703,S001172,"88,89"
"NH01 Carol Shea-Porter, D",DOVER OFFICE,NH01,Carol Shea-Porter,Shea-Porter,Carol,,,D,1530 Longworth House Office Building,Washington,DC,20515-2901,S001170,90
"NH02 Ann M. Kuster, D","Concord, Nashua, North Country Office",NH02,Ann M. Kuster,Kuster,Ann,M.,,D,137 Cannon House Office Building,Washington,DC,20515-2902,K000382,"218,219,220"
"NJ01 Donald Norcross, D","Cherry Hill Office, Washington, DC Office",NJ01,Donald Norcross,Norcross,Donald,,,D,1531 Longworth House Office Building,Washington,DC,20515-3001,N000188,"41,42"
"NJ02 Frank A. LoBiondo, R","Mays Landing Office, Washington, DC Office",NJ02,Frank A. LoBiondo,LoBiondo,Frank,A.,,R,2427 Rayburn House Office Building,Washington,DC,20515-3002,L000554,"43,44"
"NJ03 Thomas MacArthur, R","Burlington County Office, Burlington County Office Mailing Address, Ocean County Office, Washington, DC Office",NJ03,Thomas MacArthur,MacArthur,Thomas,,,R,506 Cannon House Office Building,Washington,DC,20515-3003,M001193,"45,46,47,48"
"NJ04 Christopher H. Smith, R","Monmouth County Constituent Services Center , Ocean County Office, Hamilton District Office, Washington, DC Office",NJ04,Christopher H. Smith,Smith,Christopher,H.,,R,2373 Rayburn House Office Building,Washington,DC,20515-3004,S000522,"49,50,51,52"
"NJ05 Josh Gottheimer, D","Glen Rock Office, Washington, DC Office",NJ05,Josh Gottheimer,Gottheimer,Josh,,,D,213 Cannon House Office Building,Washington,DC,20515-3005,G000583,"53,54"
"NJ06 Frank  Pallone, Jr., D","New Brunswick Office, Long Branch Office, Washington, DC Office",NJ06,"Frank  Pallone, Jr.",Pallone,Frank,,Jr.,D,237 Cannon House Office Building,Washington,DC,20515-3006,P000034,"55,56,57"
"NJ07 Leonard Lance, R","Flemington District Office, Westfield District Office",NJ07,Leonard Lance,Lance,Leonard,,,R,2352 Rayburn House Office Building,Washington,DC,20515-3007,L000567,"221,222"
"NJ08 Albio Sires, D","Elizabeth Office, Jersey City Office, West New York Office",NJ08,Albio Sires,Sires,Albio,,,D,2342 Rayburn House Office Building,Washington,DC,20515-3008,S001165,"223,224,225"
"NJ09 Bill  Pascrell, Jr., D","Englewood District Office, Lyndhurst District Office, Passaic District Office, Paterson District Office",NJ09,"Bill  Pascrell, Jr.",Pascrell,Bill,,Jr.,D,2370 Rayburn House Office Building,Washington,DC,20515-3009,P000096,"226,227,228,229"
"NJ10 Donald M. Payne, Jr., D",,NJ10,"Donald M. Payne, Jr.",Payne,Donald,M.,Jr.,D,132 Cannon House Office Building,Washington,DC,20515-3010,P000604,
"NJ11 Rodney P. Frelinghuysen, R",,NJ11,Rodney P. Frelinghuysen,Frelinghuysen,Rodney,P.,,R,2306 Rayburn House Office Building,Washington,DC,20515-3011,F000372,
"NJ12 Bonnie Watson Coleman, D",,NJ12,Bonnie Watson Coleman,Watson Coleman,Bonnie,,,D,1535 Longworth House Office Building,Washington,DC,20515-3012,W000822,
"NM01 Michelle Lujan Grisham, D",,NM01,Michelle Lujan Grisham,Lujan Grisham,Michelle,,,D,214 Cannon House Office Building,Washington,DC,20515-3101,L000580,
"NM02 Stevan Pearce, R",,NM02,Stevan Pearce,Pearce,Stevan,,,R,2432 Rayburn House Office Building,Washington,DC,20515-3102,P000588,
"NM03 Ben Ray Lujan, D",,NM03,Ben Ray Lujan,Lujan,Ben,Ray,,D,2231 Rayburn House Office Building,Washington,DC,20515-3103,L000570,
"NV01 Dina Titus, D",,NV01,Dina Titus,Titus,Dina,,,D,2464 Rayburn House Office Building,Washington,DC,20515-2801,T000468,
"NV02 Mark E. Amodei, R",,NV02,Mark E. Amodei,Amodei,Mark,E.,,R,332 Cannon House Office Building,Washington,DC,20515-2802,A000369,
"NV03 Jacky Rosen, D",,NV03,Jacky Rosen,Rosen,Jacky,,,D,413 Cannon House Office Building,Washington,DC,20515-2803,R000608,
"NV04 Ruben Kihuen, D",,NV04,Ruben Kihuen,Kihuen,Ruben,,,D,313 Cannon House Office Building,Washington,DC,20515-2804,K000390,
"NY01 Lee M. Zeldin, R",,NY01,Lee M. Zeldin,Zeldin,Lee,M.,,R,1517 Longworth House Office Building,Washington,DC,20515-3201,Z000017,
"NY02 Peter T. King, R",,NY02,Peter T. King,King,Peter,T.,,R,339 Cannon House Office Building,Washington,DC,20515-3202,K000210,
"NY03 Thomas R. Suozzi, D",,NY03,Thomas R. Suozzi,Suozzi,Thomas,R.,,D,226 Cannon House Office Building,Washington,DC,20515-3203,S001201,
"NY04 Kathleen M. Rice, D",,NY04,Kathleen M. Rice,Rice,Kathleen,M.,,D,1508 Longworth House Office Building,Washington,DC,20515-3204,R000602,
"NY05 Gregory W. Meeks, D",,NY05,Gregory W. Meeks,Meeks,Gregory,W.,,D,2234 Rayburn House Office Building,Washington,DC,20515-3205,M001137,
"NY06 Grace Meng, D",,NY06,Grace Meng,Meng,Grace,,,D,1317 Longworth House Office Building,Washington,DC,20515-3206,M001188,
"NY07 Nydia M. Velazquez, D",,NY07,Nydia M. Velazquez,Velazquez,Nydia,M.,,D,2302 Rayburn House Office Building,Washington,DC,20515-3207,V000081,
"NY08 Hakeem S. Jeffries, D",,NY08,Hakeem S. Jeffries,Jeffries,Hakeem,S.,,D,1607 Longworth House Office Building,Washington,DC,20515-3208,J000294,
"NY09 Yvette D. Clarke, D",,NY09,Yvette D. Clarke,Clarke,Yvette,D.,,D,2058 Rayburn House Office Building,Washington,DC,20515-3209,C001067,
"NY10 Jerrold Nadler, D",,NY10,Jerrold Nadler,Nadler,Jerrold,,,D,2109 Rayburn House Office Building,Washington,DC,20515-3210,N000002,
"NY11 Daniel M. Donovan, Jr., R",,NY11,"Daniel M. Donovan, Jr.",Donovan,Daniel,M.,Jr.,R,1541 Longworth House Office Building,Washington,DC,20515-3211,D000625,
"NY12 Carolyn B. Maloney, D",,NY12,Carolyn B. Maloney,Maloney,Carolyn,B.,,D,2308 Rayburn House Office Building,Washington,DC,20515-3212,M000087,
"NY13 Adriano Espaillat, D",,NY13,Adriano Espaillat,Espaillat,Adriano,,,D,1630 Longworth House Office Building,Washington,DC,20515-3213,E000297,
"NY14 Joseph Crowley, D",,NY14,Joseph Crowley,Crowley,Joseph,,,D,1035 Longworth House Office Building,Washington,DC,20515-3214,C001038,
"NY15 Jose E. Serrano, D",,NY15,Jose E. Serrano,Serrano,Jose,E.,,D,2354 Rayburn House Office Building,Washington,DC,20515-3215,S000248,
"NY16 Eliot L. Engel, D",,NY16,Eliot L. Engel,Engel,Eliot,L.,,D,2462 Rayburn House Office Building,Washington,DC,20515-3216,E000179,
"NY17 Nita M. Lowey, D",,NY17,Nita M. Lowey,Lowey,Nita,M.,,D,2365 Rayburn House Office Building,Washington,DC,20515-3217,L000480,
"NY18 Sean Patrick Maloney, D",,NY18,Sean Patrick Maloney,Maloney,Sean,Patrick,,D,1027 Longworth House Office Building,Washington,DC,20515-3218,M001185,
"NY19 John J. Faso, R",,NY19,John J. Faso,Faso,John,J.,,R,1616 Longworth House Office Building,Washington,DC,20515-3219,F000464,
"NY20 Paul Tonko, D",,NY20,Paul Tonko,Tonko,Paul,,,D,2463 Rayburn House Office Building,Washington,DC,20515-3220,T000469,
"NY21 Elise M. Stefanik, R",,NY21,Elise M. Stefanik,Stefanik,Elise,M.,,R,318 Cannon House Office Building,Washington,DC,20515-3221,S001196,
"NY22 Claudia Tenney, R",,NY22,Claudia Tenney,Tenney,Claudia,,,R,512 Cannon House Office Building,Washington,DC,20515-3222,T000478,
"NY23 Tom Reed, R",,NY23,Tom Reed,Reed,Tom,,,R,2437 Rayburn House Office Building,Washington,DC,20515-3223,R000585,
"NY24 John Katko, R",,NY24,John Katko,Katko,John,,,R,1620 Longworth House Office Building,Washington,DC,20515-3224,K000386,
"NY25 Louise McIntosh Slaughter, D",,NY25,Louise McIntosh Slaughter,Slaughter,Louise,McIntosh,,D,2469 Rayburn House Office Building,Washington,DC,20515-3225,S000480,
"NY26 Brian Higgins, D",,NY26,Brian Higgins,Higgins,Brian,,,D,2459 Rayburn House Office Building,Washington,DC,20515-3226,H001038,
"NY27 Chris Collins, R",,NY27,Chris Collins,Collins,Chris,,,R,1117 Longworth House Office Building,Washington,DC,20515-3227,C001092,
"OH01 Steve Chabot, R",,OH01,Steve Chabot,Chabot,Steve,,,R,2371 Rayburn House Office Building,Washington,DC,20515-3501,C000266,
"OH02 Brad R. Wenstrup, R",,OH02,Brad R. Wenstrup,Wenstrup,Brad,R.,,R,2419 Longworth House Office Building,Washington,DC,20515-3502,W000815,
"OH03 Joyce Beatty, D",,OH03,Joyce Beatty,Beatty,Joyce,,,D,133 Cannon House Office Building,Washington,DC,20515-3503,B001281,
"OH04 Jim Jordan, R",,OH04,Jim Jordan,Jordan,Jim,,,R,2056 Rayburn House Office Building,Washington,DC,20515-3504,J000289,
"OH05 Robert E. Latta, R",,OH05,Robert E. Latta,Latta,Robert,E.,,R,2448 Rayburn House Office Building,Washington,DC,20515-3505,L000566,
"OH06 Bill Johnson, R",,OH06,Bill Johnson,Johnson,Bill,,,R,1710 Longworth House Office Building,Washington,DC,20515-3506,J000292,
"OH07 Bob Gibbs, R",,OH07,Bob Gibbs,Gibbs,Bob,,,R,2446 Rayburn House Office Building,Washington,DC,20515-3507,G000563,
"OH08 Warren Davidson, R",,OH08,Warren Davidson,Davidson,Warren,,,R,1004 Longworth House Office Building,Washington,DC,20515-3508,D000626,
"OH09 Marcy Kaptur, D",,OH09,Marcy Kaptur,Kaptur,Marcy,,,D,2186 Rayburn House Office Building,Washington,DC,20515-3509,K000009,
