id,rep_id,office_type,line1,line2,line3,line4,line5,latitude,longitude,lonlat,created_at,updated_at,phone
63,32,district,3600 Jackson Street,Ste. 115A,"Alexandria, LA 71303",,,31.2852075,-92.4767735,,2016-12-22 18:53:55.546068,2016-12-22 18:53:55.546068,(318) 448-7176
65,33,district,975 JFK Federal Building,15 New Sudbury Street,"Boston, MA 02203",,,,,,2016-12-22 18:53:57.401161,2016-12-22 18:53:57.401161,(617) 565-8519
67,34,district,2400 JFK Federal Building,15 New Sudbury Street,"Boston, MA 02203",,,,,,2016-12-22 18:53:59.848369,2016-12-22 18:53:59.848369,(617) 565-3170
69,35,district,100 South Charles Street,"Tower 1, Suite 1710","Baltimore, MD, 21201",,,39.2871649,-76.6156372,,2016-12-22 18:54:02.154203,2016-12-22 18:54:02.154203,(410) 962-4436
71,36,district,68 Sewall Street,Room 507,"Augusta, ME 04330",,,44.310824,-69.783697,,2016-12-22 18:54:04.192529,2016-12-22 18:54:04.192529,(207) 622-8414
73,37,district,4 Gabriel Drive,Suite 3,"Augusta, ME 04330",,,44.3676495,-69.7940768,,2016-12-22 18:54:06.299716,2016-12-22 18:54:06.299716,(207) 622-8292
74,37,capitol,133 Hart Senate Office Building,"Washington, DC 20002",,,,38.893406,-77.004217,,2016-12-22 18:54:06.394747,2016-12-22 18:54:06.394747,(202) 224-5344
75,38,district,"Patrick V. McNamara Federal Building, 477 Michigan Avenue",Suite 1860,"Detroit, MI 48226",,,42.3312736,-83.0533897,,2016-12-22 18:54:07.55566,2016-12-22 18:54:07.55566,(313) 226-6020
76,38,capitol,724 Hart Senate Office Building,"Washington, DC 20002",,,,38.8928388,-77.0043561,,2016-12-22 18:54:07.655073,2016-12-22 18:54:07.655073,(202) 224-6221
77,39,district,221 W. Lake Lansing Road,Suite 100,"East Lansing, MI 48823",,,42.757677,-84.485392,,2016-12-22 18:54:08.759943,2016-12-22 18:54:08.759943,(517) 203-1760
79,40,district,515 W 1st St,Suite 104,"Duluth, MN 55802",,,46.7825784,-92.1068891,,2016-12-22 18:54:09.97589,2016-12-22 18:54:09.97589,(218) 722-2390
81,41,district,1200 Washington Avenue South,Room 250,"Minneapolis, MN 55415",,,44.9751443,-93.2505863,,2016-12-22 18:54:11.014218,2016-12-22 18:54:11.014218,(612) 727-5220
83,42,district,2740 B East Sunshine,"Springfield, MO 65804",,,,37.180415,-93.240439,,2016-12-22 18:54:12.329383,2016-12-22 18:54:12.329383,(417) 877-7814
85,43,district,555 Independence St.,Room 1600,"Cape Girardeau, MO 63703",,,37.3034205,-89.5248928,,2016-12-22 18:54:13.707374,2016-12-22 18:54:13.707374,(573) 651-0964
87,44,district,190 East Capitol St.,Suite 550,"Jackson, Mississippi 39201",,,32.3004566,-90.186689,,2016-12-22 18:54:14.786328,2016-12-22 18:54:14.786328,(601) 965-4459
89,45,district,2909 13th Street,"3rd Floor, Suite 303","Gulfport, MS 39501",,,30.3665745,-89.0969882,,2016-12-22 18:54:15.923589,2016-12-22 18:54:15.923589,(228) 871-7017
91,46,district,222 N. 32nd Street,Ste. 100,"Billings, MT 59101",,,45.7810512,-108.5125313,,2016-12-22 18:54:17.0073,2016-12-22 18:54:17.0073,(406) 245-6822
92,46,capitol,320 Hart Senate Office Building,"Washington, DC 20002",,,,38.8937864,-77.0037567,,2016-12-22 18:54:17.10478,2016-12-22 18:54:17.10478,(202) 224-2651
93,47,district,"Judge Jameson Federal Building, 2900 4th Ave N",Suite 201,"Billings, MT 59101",,,,,,2016-12-22 18:54:18.073188,2016-12-22 18:54:18.073188,(406) 252-0550
94,47,capitol,311 Hart Senate Office Building,"Washington, DC 20002",,,,38.8928388,-77.0043561,,2016-12-22 18:54:18.167292,2016-12-22 18:54:18.167292,(202) 224-2644
95,48,district,2000 West First Street,Suite 508,"Winston-Salem, NC 27104",,,36.0960116,-80.2748025,,2016-12-22 18:54:19.423555,2016-12-22 18:54:19.423555,(336) 631-5125
97,49,district,9300 Harris Corners Pkwy,Suite 170,"Charlotte, NC 28269",,,35.3458971,-80.8466732,,2016-12-22 18:54:20.451592,2016-12-22 18:54:20.451592,(704) 509-9087
99,50,district,228 Federal Building,220 East Rosser Avenue,"Bismarck, ND 58501",,,,,,2016-12-22 18:54:21.46771,2016-12-22 18:54:21.46771,(701) 258-4648
100,50,capitol,110 Hart Senate Office Building,"Washington, DC 20002",,,,38.8928388,-77.0043561,,2016-12-22 18:54:21.563639,2016-12-22 18:54:21.563639,(202) 224-2043
101,51,district,"U.S. Federal Building, 220 East Rosser Ave.",Room 312,"Bismarck, ND 58501",,,46.8090113,-100.7882597,,2016-12-22 18:54:22.503759,2016-12-22 18:54:22.503759,(701) 250-4618
102,51,capitol,338 Russell Senate Office Building,"Washington, DC 20002",,,,38.8925417,-77.0074155,,2016-12-22 18:54:22.597938,2016-12-22 18:54:22.597938,(202) 224-2551
103,52,district,440 North 8th Street,Suite 120,"Lincoln, Nebraska 68508",,,40.8177383,-96.7095183,,2016-12-22 18:54:23.689107,2016-12-22 18:54:23.689107,(402) 441-4600
56,28,capitol,361A Russell Senate Office Building,,"Washington, DC 20510",,,38.89341,-77.007201,,2016-12-22 18:53:47.353954,2016-12-23 00:02:31.950305,(202) 224-6521
58,29,capitol,109 Hart Senate Office Building,,"Washington, DC 20510",,,38.8929072,-77.0039877,,2016-12-22 18:53:49.194554,2016-12-23 00:02:32.701562,(202) 224-4774
60,30,capitol,317 Russell Senate Office Building,,"Washington, DC 20510",,,38.8925417,-77.0074155,,2016-12-22 18:53:51.766856,2016-12-23 00:12:35.736248,(202) 224-2541
64,32,capitol,United States Senate,,"Washington, DC 20510",,,38.8928369,-77.0051216,,2016-12-22 18:53:55.638254,2016-12-23 06:04:11.759658,(202) 224-5824
72,36,capitol,413 Dirksen Senate Office Building,,"Washington, DC 20510",,,38.8928388,-77.0043561,,2016-12-22 18:54:04.288023,2016-12-23 06:20:50.305088,(202) 224-2523
70,35,capitol,509 Hart Senate Office Building,,"Washington, DC 20510",,,38.8930033,-77.0040036,,2016-12-22 18:54:02.271262,2016-12-23 06:27:56.568047,(202) 224-4524
66,33,capitol,218 Russell Senate Office Building,,"Washington, DC 20510",,,38.8925417,-77.0074155,,2016-12-22 18:53:57.492104,2016-12-23 06:38:47.654072,(202) 224-2742
68,34,capitol,317 Hart Senate Office Building,,"Washington, DC 20510",,,,,,2016-12-22 18:53:59.938608,2016-12-23 06:38:48.310762,(202) 224-4543
78,39,capitol,133 Hart Senate Office Building,,"Washington, DC 20510",,,38.8928388,-77.0043561,,2016-12-22 18:54:08.855998,2016-12-23 07:22:56.018826,(202) 224-4822
82,41,capitol,302 Hart Senate Office Building,,"Washington, DC 20510",,,38.8928897,-77.0038649,,2016-12-22 18:54:11.111247,2016-12-23 07:36:17.421765,(202) 224-3244
80,40,capitol,309 Hart Senate Office Building,,"Washington, DC 20510",,,,,,2016-12-22 18:54:10.068813,2016-12-23 07:36:18.045727,(202) 224-5641
88,44,capitol,113 Dirksen Senate Office Building,,"Washington, DC 20510",,,38.8928369,-77.0051216,,2016-12-22 18:54:14.88212,2016-12-23 12:23:48.33231,(202) 224-5054
90,45,capitol,555 Dirksen Senate Office Building,,"Washington, DC 20510",,,38.8929993,-77.0054322,,2016-12-22 18:54:16.017798,2016-12-23 12:23:49.246343,(202) 224-6253
86,43,capitol,506 Hart Senate Office Building,,"Washington, DC 20510",,,38.8928388,-77.0043561,,2016-12-22 18:54:13.800947,2016-12-23 12:29:55.781144,(202) 224-6154
84,42,capitol,260 Russell Senate Office Building,,"Washington, DC 20510",,,38.8925417,-77.0074154,,2016-12-22 18:54:12.488667,2016-12-23 12:29:56.452629,(202) 224-5721
104,52,capitol,383 Russell Senate Office Building,,"Washington, DC 20510",,,38.8925417,-77.0074155,,2016-12-22 18:54:23.805504,2016-12-23 12:59:11.981827,(202) 224-6551
96,48,capitol,217 Russell Senate Office Building,,"Washington, DC 20510",,,38.8933334,-77.0061993,,2016-12-22 18:54:19.536336,2016-12-24 18:11:07.236962,(202) 224-3154
98,49,capitol,United States Senate,,"Washington, DC 20510",,,38.8928369,-77.0051216,,2016-12-22 18:54:20.545447,2016-12-24 18:11:08.055961,(202) 224-6342
105,53,district,1128 Lincoln Mall,Suite 305,"Lincoln, NE 68508",,,40.8084319,-96.7048142,,2016-12-22 18:54:24.752609,2016-12-22 18:54:24.752609,(402) 476-1400
107,54,district,2 Wall Street,Suite 220,"Manchester, NH 03101",,,42.9940731,-71.4638668,,2016-12-22 18:54:25.890808,2016-12-22 18:54:25.890808,(603) 647-7500
108,54,capitol,506 Hart Senate Office Building,"Washington, DC 20002",,,,38.8928388,-77.0043561,,2016-12-22 18:54:25.988013,2016-12-22 18:54:25.988013,(202) 224-2841
109,55,district,"One Port Center, 2 Riverside Drive",Suite 505,"Camden, NJ 08101",,,39.9443128,-75.1296174,,2016-12-22 18:54:26.899564,2016-12-22 18:54:26.899564,(856) 338-8922
111,56,district,One Gateway Center,Suite 1100,"Newark, New Jersey 07102",,,40.734928,-74.1654202,,2016-12-22 18:54:28.11866,2016-12-22 18:54:28.11866,(973) 645-3030
113,57,district,400 Gold Avenue SW,Ste. 1080,"Albuquerque, New Mexico 87102",,,35.0833514,-106.6521937,,2016-12-22 18:54:29.398784,2016-12-22 18:54:29.398784,(505) 346-6601
114,57,capitol,303 Hart Senate Office Building,"Washington, DC 20002",,,,,,,2016-12-22 18:54:29.493598,2016-12-22 18:54:29.493598,(202) 224-5521
115,58,district,400 Gold Ave. SW,Suite 300,"Albuquerque, NM 87102",,,35.0833514,-106.6521937,,2016-12-22 18:54:30.339404,2016-12-22 18:54:30.339404,(505) 346-6791
116,58,capitol,531 Hart Senate Office Building,"Washington, DC 20002",,,,38.8928388,-77.0043561,,2016-12-22 18:54:30.4373,2016-12-22 18:54:30.4373,(202) 224-6621
117,59,district,8930 West Sunset Road,Suite 230,"Las Vegas, NV 89148",,,36.0718617,-115.2870903,,2016-12-22 18:54:31.300247,2016-12-22 18:54:31.300247,(702) 388-6605
118,59,capitol,324 Hart Senate Office Building,"Washington, DC 20002",,,,,,,2016-12-22 18:54:31.393865,2016-12-22 18:54:31.393865,(202) 224-6244
119,60,district,"Leo W. O’Brien Federal Office Building, 11A Clinton Avenue",Room 821,"Albany, NY 12207",,,,,,2016-12-22 18:54:32.262704,2016-12-22 18:54:32.262704,(518) 431-0120
121,61,district,Leo O'Brien Building,Room 420,"Albany, NY 12207",,,,,,2016-12-22 18:54:33.705687,2016-12-22 18:54:33.705687,(518) 431-4070
123,62,district,801 West Superior Ave.,Suite 1400,"Cleveland, OH 44113",,,41.4964399,-81.6975439,,2016-12-22 18:54:35.211639,2016-12-22 18:54:35.211639,(216) 522-7272
125,63,district,37 West Broad Street,Room 300,"Columbus, OH 43215",,,39.9617817,-83.0020276,,2016-12-22 18:54:36.454672,2016-12-22 18:54:36.454672,(614) 469-6774
127,64,district,1924 S. Utica Avenue,Suite 530,"Tulsa, OK 74104-6511",,,36.1341719,-95.9676084,,2016-12-22 18:54:37.686081,2016-12-22 18:54:37.686081,(918) 748-5111
128,64,capitol,205 Russell Senate Office Building,"Washington, DC 20002",,,,38.8925417,-77.0074155,,2016-12-22 18:54:37.78537,2016-12-22 18:54:37.78537,(202) 224-4721
129,65,district,1015 North Broadway Avenue,Suite 310,"Oklahoma City, OK 73102",,,35.4776534,-97.5145337,,2016-12-22 18:54:38.755124,2016-12-22 18:54:38.755124,(405) 231-4941
131,66,district,121 SW Salmon Street,Ste. 1400,"Portland, OR 97204",,,45.5160884,-122.6748937,,2016-12-22 18:54:40.09364,2016-12-22 18:54:40.09364,(503) 326-3386
133,67,district,911 NE 11th Ave.,Suite 630,"Portland, OR, 97232",,,45.5293348,-122.6555902,,2016-12-22 18:54:41.105387,2016-12-22 18:54:41.105387,(503) 326-7525
135,68,district,2000 Market Street,Suite 610,"Philadelphia, PA 19103",,,39.9532653,-75.1736411,,2016-12-22 18:54:42.163683,2016-12-22 18:54:42.163683,(215) 405-9660
136,68,capitol,393 Russell Senate Office Building,"Washington, DC 20002",,,,38.8925417,-77.0074155,,2016-12-22 18:54:42.261812,2016-12-22 18:54:42.261812,(202) 224-6324
137,69,district,"United States Federal Building, 17 South Park Row",Suite B-120,"Erie, PA 16501",,,,,,2016-12-22 18:54:43.471792,2016-12-22 18:54:43.471792,(814) 453-3010
139,70,district,1000 Chapel View Boulevard,Suite 290,"Cranston, RI 02920-5602",,,41.7566184,-71.4607281,,2016-12-22 18:54:44.456179,2016-12-22 18:54:44.456179,(401) 943-3100
141,71,district,170 Westminster St.,Ste. 200,"Providence, RI 02903",,,41.8235873,-71.4113021,,2016-12-22 18:54:45.701355,2016-12-22 18:54:45.701355,(401) 453-5294
143,72,district,130 South Main Street,7th Floor,"Greenville, SC 29601",,,34.8487536,-82.4004437,,2016-12-22 18:54:46.812551,2016-12-22 18:54:46.812551,(864) 250-1417
145,73,district,1301 Gervais Street,Suite 825,"Columbia, SC 29201",,,34.0021846,-81.031595,,2016-12-22 18:54:47.97114,2016-12-22 18:54:47.97114,(803) 771-6112
147,74,district,"111 W Capitol Ave., Suite 210",P.O.Box 309,"Pierre, SD 57501",,,44.3691728,-100.35182,,2016-12-22 18:54:49.002625,2016-12-22 18:54:49.002625,(605) 224-1450
148,74,capitol,502 Hart Senate Office Building,"Washington, DC 20002",,,,,,,2016-12-22 18:54:49.094188,2016-12-22 18:54:49.094188,(202) 224-5842
149,75,district,246 Founders Park Drive,Suite 102,"Rapid City, SD 57701",,,44.0872508,-103.239745,,2016-12-22 18:54:50.02337,2016-12-22 18:54:50.02337,(605) 348-7551
150,75,capitol,511 Dirksen Senate Office Building,"Washington, DC 20002",,,,38.8928369,-77.0051216,,2016-12-22 18:54:50.156714,2016-12-22 18:54:50.156714,(202) 224-2321
151,76,district,"Joel E. Soloman Federal Building, 900 Georgia Avenue",#260,"Chattanooga, TN 37402",,,,,,2016-12-22 18:54:52.559291,2016-12-22 18:54:52.559291,(423) 752-5337
153,77,district,100 Peabody Place,Suite 1125,"Memphis, TN 38103",,,35.1412747,-90.0540056,,2016-12-22 18:54:54.183353,2016-12-22 18:54:54.183353,(901) 683-1910
155,78,district,5300 Memorial Drive,Suite 980,"Houston, TX 77007",,,29.7620629,-95.4159532,,2016-12-22 18:54:56.111135,2016-12-22 18:54:56.111135,(713) 572-3337
142,71,capitol,530 Hart Senate Office Bldg.,,"Washington, DC 20510",,,38.8928388,-77.0043561,,2016-12-22 18:54:45.795812,2016-12-23 06:40:31.796226,(202) 224-2921
152,76,capitol,455 Dirksen Senate Office Building,,"Washington, DC 20510",,,38.8928369,-77.0051216,,2016-12-22 18:54:52.664673,2016-12-23 12:25:18.334591,(202) 224-4944
154,77,capitol,SD-425 Dirksen Senate Office Building,,"Washington, DC 20510",,,38.8937864,-77.0037567,,2016-12-22 18:54:54.280447,2016-12-23 12:25:19.255987,(202) 224-3344
106,53,capitol,United States Senate,,"Washington, DC 20510",,,38.8928369,-77.0051216,,2016-12-22 18:54:24.848023,2016-12-23 12:59:12.90335,(202) 224-4224
110,55,capitol,141 Hart Senate Office Building,,"Washington, DC 20510",,,38.8928388,-77.0043561,,2016-12-22 18:54:26.994063,2016-12-23 13:15:33.488751,(202) 224-3224
112,56,capitol,528 Senate Hart Office Building,,"Washington, DC 20510",,,38.8928388,-77.0043561,,2016-12-22 18:54:28.21255,2016-12-23 13:15:34.59246,(202) 224-4744
122,61,capitol,322 Hart Senate Office Building,,"Washington, DC 20510",,,38.892738,-77.003866,,2016-12-22 18:54:33.812098,2016-12-23 14:55:00.733194,(202) 224-6542
120,60,capitol,478 Russell Senate Office Building,,"Washington, DC 20510",,,38.8928193,-77.0074403,,2016-12-22 18:54:32.660843,2016-12-23 14:55:01.892118,(202) 224-4451
126,63,capitol,448 Russell Senate Office Building,,"Washington, DC 20510",,,38.8925417,-77.0074155,,2016-12-22 18:54:36.68859,2016-12-24 18:59:02.194519,(202) 224-3353
124,62,capitol,713 Hart Senate Office Bldg.,,"Washington, DC 20510",,,38.8928388,-77.0043561,,2016-12-22 18:54:35.313704,2016-12-24 18:59:03.164237,(202) 224-2315
130,65,capitol,United States Senate,,"Washington, DC 20510",,,38.8928369,-77.0051216,,2016-12-22 18:54:38.850197,2016-12-24 19:21:12.835564,(202) 224-5754
132,66,capitol,313 Hart Senate Office Building,,"Washington, DC 20510",,,38.8923953,-77.0043887,,2016-12-22 18:54:40.189634,2016-12-24 20:18:49.747363,(202) 224-3753
134,67,capitol,221 Dirksen Senate Office Bldg.,,"Washington, DC 20510",,,38.8928369,-77.0051216,,2016-12-22 18:54:41.20069,2016-12-24 20:18:50.58454,(202) 224-5244
138,69,capitol,248 Russell Senate Office Building,,"Washington, DC 20510",,,38.8925417,-77.0074155,,2016-12-22 18:54:43.566018,2016-12-24 20:23:20.210897,(202) 224-4254
144,72,capitol,290 Russell Senate Office Building,,"Washington, DC 20510",,,38.8932332,-77.0061993,,2016-12-22 18:54:46.907169,2016-12-25 14:17:01.562881,(202) 224-5972
146,73,capitol,167 Russell Senate Office Building,,"Washington, DC 20510",,,38.8925417,-77.0074155,,2016-12-22 18:54:48.077085,2016-12-25 14:17:02.169191,(202) 224-6121
156,78,capitol,517 Hart Senate Office Bldg.,,"Washington, DC 20510",,,38.8931185,-77.0037751,,2016-12-22 18:54:56.209162,2016-12-25 18:42:02.802667,(202) 224-2934
