member_full,office_locations,state,name,last_name,first_name,party,district_office_line_1,district_office_line_2,district_office_line_3,district_phone,capitol_office_line_1,capitol_city,capitol_state,capitol_zip,capitol_phone,email,website,senate_class,bioguide_id,photo,office_location_ids
"CO Michael F. Bennet, D",,CO,Michael F. Bennet,Bennet,Michael F.,D,1127 Sherman St.,Suite 150,"Denver, CO 80203",(303) 455-7600,261 Russell Senate Office Building,Washington,DC,20510,(202) 224-5852,https://www.bennet.senate.gov/?p=contact,http://www.bennet.senate.gov,Class III,B001267,CO_Bennet.jpg (https://dl.airtable.com/hUPc17QVT9Kh0Ohpp49b_CO_Bennet.jpg),
"CO Cory Gardner, R",,CO,Cory Gardner,Gardner,Cory,R,503 N. Main St.,Ste. 426,"Pueblo, CO 81003",(719) 543-1324,354 Russell Senate Office Building,Washington,DC,20510,(202) 224-5941,https://www.gardner.senate.gov/contact-cory/email-cory,http://www.gardner.senate.gov,Class II,G000562,CO_Gardner.jpg (https://dl.airtable.com/PHxQnQM8QGmQD69P0S87_CO_Gardner.jpg),
"CT Richard Blumenthal, D",,CT,Richard Blumenthal,Blumenthal,Richard,D,90 State House Square,10th Floor,"Hartford, CT, 06103",(860) 258-6940,706 Hart Senate Office Building,Washington,DC,20510,(202) 224-2823,https://www.blumenthal.senate.gov/contact/,http://www.blumenthal.senate.gov,Class III,B001277,CT_Blumenthal.jpg (https://dl.airtable.com/H1iZlUSAQByZH81mIRpn_CT_Blumenthal.jpg),
"CT Christopher Murphy, D",,CT,Christopher Murphy,Murphy,Christopher,D,"Colt Gateway, 120 Huyshope Avenue",Suite 401,"Hartford, CT 06106",(860) 549-8463,136 Hart Senate Office Building,Washington,DC,20510,(202) 224-4041,http://www.murphy.senate.gov/contact,http://www.murphy.senate.gov/,Class I,M001169,CT_Murphy.jpg (https://dl.airtable.com/yxyyh2dFSZq0nogxhT6P_CT_Murphy.jpg),
"DE Thomas R. Carper, D",,DE,Thomas R. Carper,Carper,Thomas R.,D,301 North Walnut Street,Suite 102L-1,"Wilmington, DE 19801-3974",(302) 573-6291,513 Hart Senate Office Building,Washington,DC,20510,(202) 224-2441,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,http://www.carper.senate.gov,Class I,C000174,DE_Carper.jpg (https://dl.airtable.com/BemElVjTr9te9UUQECEA_DE_Carper.jpg),
"DE Christopher A. Coons, D",,DE,Christopher A. Coons,Coons,Christopher A.,D,1105 N. Market St.,Suite 100,"Wilmington, DE 19801-1233",(302) 573-6345\,127A Russell Senate Office Building,Washington,DC,20510,(202) 224-5042,https://www.coons.senate.gov/contact,http://www.coons.senate.gov/,Class II,C001088,DE_Coons.png (https://dl.airtable.com/TgP3jDFjQiSNvmbWW7yX_DE_Coons.png),
"FL Bill Nelson, D",,FL,Bill Nelson,Nelson,Bill,D,3416 South University Drive,"Fort Lauderdale, FL 33328",,(954) 693-4851,716 Hart Senate Office Building,Washington,DC,20510,(202) 224-5274,https://www.billnelson.senate.gov/contact-bill,http://www.billnelson.senate.gov/,Class I,N000032,FL_Nelson.jpg (https://dl.airtable.com/HozcFUMnR8S7lPoSemXM_FL_Nelson.jpg),
"FL Marco Rubio, R",,FL,Marco Rubio,Rubio,Marco,R,201 South Orange Avenue,Suite 350,"Orlando, FL 32801",(407) 254-2573,284 Russell Senate Office Building,Washington,DC,20510,(202) 224-3041,http://www.rubio.senate.gov/public/index.cfm/contact,http://www.rubio.senate.gov,Class III,R000595,FL_Rubio.jpg (https://dl.airtable.com/mGXl7NJVS7SYj0ENRrrf_FL_Rubio.jpg),
"GA Johnny Isakson, R",,GA,Johnny Isakson,Isakson,Johnny,R,"One Overton Park, 3625 Cumberland Blvd",Suite 970,"Atlanta, GA 30339",(770) 661-0999,131 Russell Senate Office Building,Washington,DC,20510,(202) 224-3643,https://www.isakson.senate.gov/public/index.cfm/email-me,http://www.isakson.senate.gov,Class III,I000055,GA_Isakson.jpg (https://dl.airtable.com/vIAd7oJzRGy5XfBHnGvU_GA_Isakson.jpg),
"GA David Perdue, R",,GA,David Perdue,Perdue,David,R,191 Peachtree Street NE,Suite 3250,"Atlanta, GA 30303",(404) 865-0087,383 Russell Senate Office Building,Washington,DC,20510,(202) 224-3521,https://www.perdue.senate.gov/connect/email,http://www.perdue.senate.gov,Class II,P000612,GA_Perdue.jpg (https://dl.airtable.com/nDsEi0vzRCerBAqn5grJ_GA_Perdue.jpg),
"HI Mazie K. Hirono, D",,HI,Mazie K. Hirono,Hirono,Mazie K.,D,300 Ala Moana Blvd.,Rm. 3-106,"Honolulu, HI 96850",(808) 522-8970,330 Hart Senate Office Building,Washington,DC,20510,(202) 224-6361,https://www.hirono.senate.gov/contact,http://www.hirono.senate.gov/,Class I,H001042,HI_Hirono.jpg (https://dl.airtable.com/J9ybaTraQP6wY3QOBNH8_HI_Hirono.jpg),
"HI Brian Schatz, D",,HI,Brian Schatz,Schatz,Brian,D,300 Ala Moana Blvd.,Rm 7-212,"Honolulu, HI 96850",(808) 523-2061,722 Hart Senate Office Building,Washington,DC,20510,(202) 224-3934,https://www.schatz.senate.gov/contact,http://www.schatz.senate.gov,Class III,S001194,HI_Schatz.jpg (https://dl.airtable.com/6Uw5fiiRj6GmNRnVVKpg_HI_Schatz.jpg),
"IA Joni Ernst, R",,IA,Joni Ernst,Ernst,Joni,R,733 Federal Building,210 Walnut Street,"Des Moines, IA 50309",(515) 284-4574,111 Russell Senate Office Building,Washington,DC,20510,(202) 224-3254,https://www.ernst.senate.gov/public/index.cfm/contact,http://www.ernst.senate.gov,Class II,E000295,IA_Ernst.jpg (https://dl.airtable.com/4CCTcf2ZQmOAyKlwd4VH_IA_Ernst.jpg),
"IA Chuck Grassley, R",,IA,Chuck Grassley,Grassley,Chuck,R,"111 7th Avenue SE, Box 13",Suite 6800,"Cedar Rapids, IA 52401",(319) 363-6832,135 Hart Senate Office Building,Washington,DC,20510,(202) 224-3744,http://www.grassley.senate.gov/contact,http://www.grassley.senate.gov,Class III,G000386,IA_Grassley.jpg (https://dl.airtable.com/kdv0utSUyP4GDH96PMxA_IA_Grassley.jpg),
"ID Mike Crapo, R",,ID,Mike Crapo,Crapo,Mike,R,251 East Front Street,Suite 205,"Boise, ID 83702",(208) 334-1776,239 Dirksen Senate Office Building,Washington,DC,20510,(202) 224-6142,http://www.crapo.senate.gov/contact/email.cfm,http://www.crapo.senate.gov,Class III,C000880,ID_Crapo.jpg (https://dl.airtable.com/1s0HSG2RzmOxnL2Uo5jA_ID_Crapo.jpg),
"ID James E. Risch, R",,ID,James E. Risch,Risch,James E.,R,350 N. 9th St.,Suite 302,"Boise, Idaho 83702",(208) 342-7985,483 Russell Senate Office Building,Washington,DC,20510,(202) 224-2752,http://www.risch.senate.gov/public/index.cfm?p=Email,http://www.risch.senate.gov,Class II,R000584,ID_Risch.jpg (https://dl.airtable.com/jn2Sqv5rQ0CJAqacQ051_ID_Risch.jpg),
"IL Richard J. Durbin, D",,IL,Richard J. Durbin,Durbin,Richard J.,D,230 S. Dearborn Street,Suite 3892,"Chicago, IL 60604",(312) 353-4952,711 Hart Senate Office Building,Washington,DC,20510,(202) 224-2152,https://www.durbin.senate.gov/contact/,http://www.durbin.senate.gov,Class II,D000563,IL_Durbin.jpg (https://dl.airtable.com/j5OS4uCDR3OOLD86n1R2_IL_Durbin.jpg),
"IL Tammy Duckworth, D",,IL,Tammy Duckworth,Duckworth,Tammy,D,,,,,G12 Dirksen Senate Office Building,Washington,DC,20510,(202) 224-2854,,,,,,
"IN Joe Donnelly, D",,IN,Joe Donnelly,Donnelly,Joe,D,123 NW 4th Street,Suite 417,"Evansville, IN 47708",(812) 425-5813,720 Hart Senate Office Building,Washington,DC,20510,(202) 224-4814,https://www.donnelly.senate.gov/contact/email-joe,http://www.donnelly.senate.gov,Class I,D000607,IN_Donnelly.jpg (https://dl.airtable.com/cojooZiYQSuAYoPUhs0N_IN_Donnelly.jpg),
"IN Todd Young, R",,IN,Todd Young,Young,Todd,R,,,,,B33 Russell Senate Office Building,Washington,DC,20510,(202) 224-5623,,,,,,
"KS Jerry Moran, R",,KS,Jerry Moran,Moran,Jerry,R,"1200 Main St., Suite 402",P.O. Box 249,"Hays, KS 67601",(785) 628-6401,521 Dirksen Senate Office Building,Washington,DC,20510,(202) 224-6521,https://www.moran.senate.gov/public/index.cfm/e-mail-jerry,http://www.moran.senate.gov,Class III,M000934,KS_Moran.jpg (https://dl.airtable.com/IBw7gUxSJaQKguO91QwP_KS_Moran.jpg),
"KS Pat Roberts, R",,KS,Pat Roberts,Roberts,Pat,R,11900 College Boulevard,Suite 203,"Overland Park, KS 66210",(913) 451-9343,109 Hart Senate Office Building,Washington,DC,20510,(202) 224-4774,https://www.roberts.senate.gov/public/?p=EmailPat,http://www.roberts.senate.gov/,Class II,R000307,KS_Roberts.jpg (https://dl.airtable.com/QnVXgQT1TbyGFEKM8eBB_KS_Roberts.jpg),
"KY Mitch McConnell, R",,KY,Mitch McConnell,McConnell,Mitch,R,601 W. Broadway,Room 630,"Louisville, KY 40202",(502) 582-6304,317 Russell Senate Office Building,Washington,DC,20510,(202) 224-2541,http://www.mcconnell.senate.gov/public/index.cfm?p=contact,http://www.mcconnell.senate.gov/,Class II,M000355,KY_McConnell.jpg (https://dl.airtable.com/7EvsiYs2RdGn1Ycwv28G_KY_McConnell.jpg),
"KY Rand Paul, R",,KY,Rand Paul,Paul,Rand,R,1029 State Street,"Bowling Green, KY 42101",,(270) 782-8303,167 Russell Senate Office Building,Washington,DC,20510,(202) 224-4343,https://www.paul.senate.gov/connect/email-rand,http://www.paul.senate.gov,Class III,P000603,KY_Paul.jpg (https://dl.airtable.com/1LychajrSWiPzBMzROd8_KY_Paul.jpg),
"LA Bill Cassidy, R",,LA,Bill Cassidy,Cassidy,Bill,R,3600 Jackson Street,Ste. 115A,"Alexandria, LA 71303",(318) 448-7176,703 Hart Senate Office Building,Washington,DC,20510,(202) 224-5824,https://www.cassidy.senate.gov/contact,http://www.cassidy.senate.gov,Class II,C001075,LA_Cassidy.jpg (https://dl.airtable.com/L7TWYvkpQnmhGbYAqhbm_LA_Cassidy.jpg),
"LA John Kennedy, R",,LA,John Kennedy,Kennedy,John,R,,,,,B11 Russell Senate Office Building,Washington,DC,20510,(202) 224-4623,,,,,,
"MA Edward J. Markey, D",,MA,Edward J. Markey,Markey,Edward J.,D,975 JFK Federal Building,15 New Sudbury Street,"Boston, MA 02203",(617) 565-8519,255 Dirksen Senate Office Building,Washington,DC,20510,(202) 224-2742,https://www.markey.senate.gov/contact,http://www.markey.senate.gov/,Class II,M000133,MA_Markey.jpg (https://dl.airtable.com/AefdvzmmTqy6gX7FnPG6_MA_Markey.jpg),
"MA Elizabeth Warren, D",,MA,Elizabeth Warren,Warren,Elizabeth,D,2400 JFK Federal Building,15 New Sudbury Street,"Boston, MA 02203",(617) 565-3170,317 Hart Senate Office Building,Washington,DC,20510,(202) 224-4543,https://www.warren.senate.gov/?p=email_senator,http://www.warren.senate.gov,Class I,W000817,MA_Warren.jpg (https://dl.airtable.com/NnYIlGVT0yIS8pRzQmwP_MA_Warren.jpg),
"MD Benjamin L. Cardin, D",,MD,Benjamin L. Cardin,Cardin,Benjamin L.,D,100 South Charles Street,"Tower 1, Suite 1710","Baltimore, MD, 21201",(410) 962-4436,509 Hart Senate Office Building,Washington,DC,20510,(202) 224-4524,http://www.cardin.senate.gov/contact/,http://www.cardin.senate.gov/,Class I,C000141,MD_Cardin.jpg (https://dl.airtable.com/2Lo6rXGeRdinx1pm63pE_MD_Cardin.jpg),
"MD Chris Van Hollen, D",,MD,Chris Van Hollen,Van Hollen,Chris,D,,,,,B40C Dirksen Senate Office Building,Washington,DC,20510,(202) 224-4654,,,,,,
"ME Susan M. Collins, R",,ME,Susan M. Collins,Collins,Susan M.,R,68 Sewall Street,Room 507,"Augusta, ME 04330",(207) 622-8414,413 Dirksen Senate Office Building,Washington,DC,20510,(202) 224-2523,http://www.collins.senate.gov/contact,http://www.collins.senate.gov,Class II,C001035,ME_Collins.jpg (https://dl.airtable.com/q8iJwSDR9iWKE3zxXk29_ME_Collins.jpg),
"ME Angus S., Jr. King, I",,ME,"Angus S., Jr. King",King,"Angus S., Jr.",I,4 Gabriel Drive,Suite 3,"Augusta, ME 04330",(207) 622-8292,133 Hart Senate Office Building,Washington,DC,20510,(202) 224-5344,https://www.king.senate.gov/contact,http://www.king.senate.gov/,Class I,K000383,ME_King.png (https://dl.airtable.com/gjw7sUXQCSt2Qk4v8CJK_ME_King.png),
"MI Gary C. Peters, D",,MI,Gary C. Peters,Peters,Gary C.,D,"Patrick V. McNamara Federal Building, 477 Michigan Avenue",Suite 1860,"Detroit, MI 48226",(313) 226-6020,724 Hart Senate Office Building,Washington,DC,20510,(202) 224-6221,https://www.peters.senate.gov/contact/email-gary,http://www.peters.senate.gov,Class II,P000595,MI_Peters.jpg (https://dl.airtable.com/ix0xoYnSEqVAw2chqN0Q_MI_Peters.jpg),
"MI Debbie Stabenow, D",,MI,Debbie Stabenow,Stabenow,Debbie,D,221 W. Lake Lansing Road,Suite 100,"East Lansing, MI 48823",(517) 203-1760,731 Hart Senate Office Building,Washington,DC,20510,(202) 224-4822,http://www.stabenow.senate.gov/?p=contact,http://www.stabenow.senate.gov/,Class I,S000770,MI_Stabenow.jpg (https://dl.airtable.com/hi8xamKySRmpTFVAi888_MI_Stabenow.jpg),
"MN Al Franken, D",,MN,Al Franken,Franken,Al,D,515 W 1st St,Suite 104,"Duluth, MN 55802",(218) 722-2390,309 Hart Senate Office Building,Washington,DC,20510,(202) 224-5641,https://www.franken.senate.gov/?p=contact,http://www.franken.senate.gov,Class II,F000457,MN_Franken.jpeg (https://dl.airtable.com/50gOM5GtSVeCscMlA5BF_MN_Franken.jpeg),
"MN Amy Klobuchar, D",,MN,Amy Klobuchar,Klobuchar,Amy,D,1200 Washington Avenue South,Room 250,"Minneapolis, MN 55415",(612) 727-5220,302 Hart Senate Office Building,Washington,DC,20510,(202) 224-3244,http://www.klobuchar.senate.gov/public/contact-amy,http://www.klobuchar.senate.gov/,Class I,K000367,MN_Klobuchar.jpg (https://dl.airtable.com/GvJfmKqS6oWLSAsD1jBw_MN_Klobuchar.jpg),
"MO Roy Blunt, R",,MO,Roy Blunt,Blunt,Roy,R,2740 B East Sunshine,"Springfield, MO 65804",,(417) 877-7814,260 Russell Senate Office Building,Washington,DC,20510,(202) 224-5721,https://www.blunt.senate.gov/public/index.cfm/contact-roy,http://www.blunt.senate.gov,Class III,B000575,MO_Blunt.jpg (https://dl.airtable.com/S2WPueJcQF2IP7iztdjk_MO_Blunt.jpg),
"MO Claire McCaskill, D",,MO,Claire McCaskill,McCaskill,Claire,D,555 Independence St.,Room 1600,"Cape Girardeau, MO 63703",(573) 651-0964,730 Hart Senate Office Building,Washington,DC,20510,(202) 224-6154,http://www.mccaskill.senate.gov/contact,http://www.mccaskill.senate.gov/,Class I,M001170,MO_McCaskill.jpg (https://dl.airtable.com/RS3MWArBQxmZGB8MX83u_MO_McCaskill.jpg),
"MS Thad Cochran, R",,MS,Thad Cochran,Cochran,Thad,R,190 East Capitol St.,Suite 550,"Jackson, Mississippi 39201",(601) 965-4459,113 Dirksen Senate Office Building,Washington,DC,20510,(202) 224-5054,https://www.cochran.senate.gov/public/index.cfm/email-me,http://www.cochran.senate.gov,Class II,C000567,MS_Cochran.jpg (https://dl.airtable.com/PAYeFtfdRlCb4BduxFzr_MS_Cochran.jpg),
"MS Roger F. Wicker, R",,MS,Roger F. Wicker,Wicker,Roger F.,R,2909 13th Street,"3rd Floor, Suite 303","Gulfport, MS 39501",(228) 871-7017,555 Dirksen Senate Office Building,Washington,DC,20510,(202) 224-6253,https://www.wicker.senate.gov/public/index.cfm/contact,http://www.wicker.senate.gov,Class I,W000437,MS_Wicker.jpg (https://dl.airtable.com/9mKD0T4GRXmRX7HZmO9a_MS_Wicker.jpg),
"MT Steve Daines, R",,MT,Steve Daines,Daines,Steve,R,222 N. 32nd Street,Ste. 100,"Billings, MT 59101",(406) 245-6822,320 Hart Senate Office Building,Washington,DC,20510,(202) 224-2651,https://www.daines.senate.gov/connect/email-steve,http://www.daines.senate.gov,Class II,D000618,MT_Daines.jpg (https://dl.airtable.com/hTwHCVjHSvuiFGtfitBy_MT_Daines.jpg),
"MT Jon Tester, D",,MT,Jon Tester,Tester,Jon,D,"Judge Jameson Federal Building, 2900 4th Ave N",Suite 201,"Billings, MT 59101",(406) 252-0550,311 Hart Senate Office Building,Washington,DC,20510,(202) 224-2644,https://www.tester.senate.gov/?p=email_senator,http://www.tester.senate.gov/,Class I,T000464,MT_Tester.jpg (https://dl.airtable.com/NjcCiJJWRpulxKMbt0XC_MT_Tester.jpg),
"NC Richard Burr, R",,NC,Richard Burr,Burr,Richard,R,2000 West First Street,Suite 508,"Winston-Salem, NC 27104",(336) 631-5125,217 Russell Senate Office Building,Washington,DC,20510,(202) 224-3154,https://www.burr.senate.gov/contact/email,http://www.burr.senate.gov,Class III,B001135,NC_Burr.jpg (https://dl.airtable.com/MNIIORXvRjWq8yT5rpCi_NC_Burr.jpg),
"NC Thom Tillis, R",,NC,Thom Tillis,Tillis,Thom,R,9300 Harris Corners Pkwy,Suite 170,"Charlotte, NC 28269",(704) 509-9087,185 Dirksen Senate Office Building,Washington,DC,20510,(202) 224-6342,https://www.tillis.senate.gov/public/index.cfm/email-me,http://www.tillis.senate.gov,Class II,T000476,NC_Tillis.jpg (https://dl.airtable.com/x2UDrmNQTYyJh90kbhYZ_NC_Tillis.jpg),
"ND Heidi Heitkamp, D",,ND,Heidi Heitkamp,Heitkamp,Heidi,D,228 Federal Building,220 East Rosser Avenue,"Bismarck, ND 58501",(701) 258-4648,110 Hart Senate Office Building,Washington,DC,20510,(202) 224-2043,http://www.heitkamp.senate.gov/public/index.cfm/contact,http://www.heitkamp.senate.gov/,Class I,H001069,ND_Heitkamp.jpg (https://dl.airtable.com/h2Ie1DUsQQW0erORxMew_ND_Heitkamp.jpg),
"ND John Hoeven, R",,ND,John Hoeven,Hoeven,John,R,"U.S. Federal Building, 220 East Rosser Ave.",Room 312,"Bismarck, ND 58501",(701) 250-4618,338 Russell Senate Office Building,Washington,DC,20510,(202) 224-2551,http://www.hoeven.senate.gov/public/index.cfm/email-the-senator,http://www.hoeven.senate.gov,Class III,H001061,ND_Hoeven.jpg (https://dl.airtable.com/XH0K8PWuQJqMqaujfE1i_ND_Hoeven.jpg),
"NE Deb Fischer, R",,NE,Deb Fischer,Fischer,Deb,R,440 North 8th Street,Suite 120,"Lincoln, Nebraska 68508",(402) 441-4600,454 Russell Senate Office Building,Washington,DC,20510,(202) 224-6551,http://www.fischer.senate.gov/public/index.cfm/contact,http://www.fischer.senate.gov,Class I,F000463,NE_Fischer.jpg (https://dl.airtable.com/Gzd77HxQQa2iZmLG6wWW_NE_Fischer.jpg),
"NE Ben Sasse, R",,NE,Ben Sasse,Sasse,Ben,R,1128 Lincoln Mall,Suite 305,"Lincoln, NE 68508",(402) 476-1400,386A Russell Senate Office Building,Washington,DC,20510,(202) 224-4224,http://www.sasse.senate.gov/public/index.cfm/email-ben,http://www.sasse.senate.gov,Class II,S001197,NE_Sasse.jpg (https://dl.airtable.com/PsD1FQAR2SXzocgjv1qA_NE_Sasse.jpg),
"NH Jeanne Shaheen, D",,NH,Jeanne Shaheen,Shaheen,Jeanne,D,2 Wall Street,Suite 220,"Manchester, NH 03101",(603) 647-7500,506 Hart Senate Office Building,Washington,DC,20510,(202) 224-2841,http://www.shaheen.senate.gov/contact/,http://www.shaheen.senate.gov,Class II,S001181,NH_Shaheen.jpg (https://dl.airtable.com/jGztH8ibQa61I4EOg4Zq_NH_Shaheen.jpg),
"NH Margaret W. Hassan, D",,NH,Margaret W. Hassan,Hassan,Margaret W.,D,,,,,B85 Russell Senate Office Building,Washington,DC,20510,(202) 224-3324,,,,,,
"NJ Cory A. Booker, D",,NJ,Cory A. Booker,Booker,Cory A.,D,"One Port Center, 2 Riverside Drive",Suite 505,"Camden, NJ 08101",(856) 338-8922,359 Dirksen Senate Office Building,Washington,DC,20510,(202) 224-3224,https://www.booker.senate.gov/?p=contact,http://www.booker.senate.gov,Class II,B001288,NJ_Booker.jpg (https://dl.airtable.com/7BcJcPU0RUOythJJYXPy_NJ_Booker.jpg),
"NJ Robert Menendez, D",,NJ,Robert Menendez,Menendez,Robert,D,One Gateway Center,Suite 1100,"Newark, New Jersey 07102",(973) 645-3030,528 Hart Senate Office Building,Washington,DC,20510,(202) 224-4744,https://www.menendez.senate.gov/contact,http://www.menendez.senate.gov/,Class I,M000639,NJ_Menendez.jpg (https://dl.airtable.com/wpc9aYspT1WlDu5yYMga_NJ_Menendez.jpg),
"NM Martin Heinrich, D",,NM,Martin Heinrich,Heinrich,Martin,D,400 Gold Avenue SW,Ste. 1080,"Albuquerque, New Mexico 87102",(505) 346-6601,303 Hart Senate Office Building,Washington,DC,20510,(202) 224-5521,http://www.heinrich.senate.gov/contact,http://www.heinrich.senate.gov/,Class I,H001046,NM_Heinrich.jpg (https://dl.airtable.com/VOLB1C8Qj6vh61RA0OJg_NM_Heinrich.jpg),
"NM Tom Udall, D",,NM,Tom Udall,Udall,Tom,D,400 Gold Ave. SW,Suite 300,"Albuquerque, NM 87102",(505) 346-6791,531 Hart Senate Office Building,Washington,DC,20510,(202) 224-6621,https://www.tomudall.senate.gov/?p=contact,http://www.tomudall.senate.gov,Class II,U000039,NM_Tomudall.jpg (https://dl.airtable.com/BSfCei69TIeitSJBIq1h_NM_Tomudall.jpg),
"NV Dean Heller, R",,NV,Dean Heller,Heller,Dean,R,8930 West Sunset Road,Suite 230,"Las Vegas, NV 89148",(702) 388-6605,324 Hart Senate Office Building,Washington,DC,20510,(202) 224-6244,http://www.heller.senate.gov/public/index.cfm/contact-form,http://www.heller.senate.gov/,Class I,H001041,NV_Heller.jpeg (https://dl.airtable.com/5lrP9mQiSg2p0lwLMzMT_NV_Heller.jpeg),
"NV Catherine Cortez Masto, D",,NV,Catherine Cortez Masto,Cortez Masto,Catherine,D,,,,,B40A Dirksen Senate Office Building,Washington,DC,20510,(202) 224-3542,,,,,,
"NY Kirsten E. Gillibrand, D",,NY,Kirsten E. Gillibrand,Gillibrand,Kirsten E.,D,"Leo W. O’Brien Federal Office Building, 11A Clinton Avenue",Room 821,"Albany, NY 12207",(518) 431-0120,478 Russell Senate Office Building,Washington,DC,20510,(202) 224-4451,http://www.gillibrand.senate.gov/contact/,http://www.gillibrand.senate.gov,Class I,G000555,NY_Gillibrand.jpg (https://dl.airtable.com/91iwh9e9QMuXfmU8mpPM_NY_Gillibrand.jpg),
"NY Charles E. Schumer, D",,NY,Charles E. Schumer,Schumer,Charles E.,D,Leo O'Brien Building,Room 420,"Albany, NY 12207",(518) 431-4070,322 Hart Senate Office Building,Washington,DC,20510,(202) 224-6542,https://www.schumer.senate.gov/contact/email-chuck,http://www.schumer.senate.gov/,Class III,S000148,NY_Schumer.jpg (https://dl.airtable.com/euFYTcriQ3GavJsohg6U_NY_Schumer.jpg),
