id,rep,office_name,type,phone_1,phone_2,phone_3,phone_4,line_1,line_2,city,state,zip,rep_full
44,"""NJ02 Frank A. LoBiondo, R""","Washington, DC Office",capitol,(202) 225-6572,,,,2427 Rayburn House Office Building,,Washington,DC,20515,"NJ02 Frank A. LoBiondo, R"
45,"""NJ03 Thomas MacArthur, R""",Burlington County Office,district,(856) 267-5182,,,,Gibson House Community Center 535 East Main Street,,Marlton,NJ,08053,"NJ03 Thomas MacArthur, R"
46,"""NJ03 Thomas MacArthur, R""",Burlington County Office Mailing Address,district,(856) 267-5182,,,,PO Box 122,,Marlton,NJ,08053,"NJ03 Thomas MacArthur, R"
47,"""NJ03 Thomas MacArthur, R""",Ocean County Office,district,(732) 569-6495,,,,Township of Toms River Town Hall 33 Washington St,,Toms River,NJ,08753,"NJ03 Thomas MacArthur, R"
48,"""NJ03 Thomas MacArthur, R""","Washington, DC Office",capitol,(202) 225-4765,,,,506 Cannon House Office Building,,Washington,DC,20515,"NJ03 Thomas MacArthur, R"
49,"""NJ04 Christopher H. Smith, R""",Monmouth County Constituent Services Center ,district,(732) 780-3035,,,,112 Village Center Drive, Second Floor* Raintree Shopping Center,Freehold,NJ,07728,"NJ04 Christopher H. Smith, R"
50,"""NJ04 Christopher H. Smith, R""",Ocean County Office,district,(609) 286-2571,(732) 350-2300,,,405 Route 539 (Pinehurst Road),,Plumsted,NJ,08533,"NJ04 Christopher H. Smith, R"
51,"""NJ04 Christopher H. Smith, R""",Hamilton District Office,district,(609) 585-7878,,,,4573 South Broad Street ,,Hamilton,NJ,08620,"NJ04 Christopher H. Smith, R"
52,"""NJ04 Christopher H. Smith, R""","Washington, DC Office",capitol,(202) 225-3765,,,,2373 Rayburn House Office Building,,Washington,DC,20515,"NJ04 Christopher H. Smith, R"
53,"""NJ05 Josh Gottheimer, D""",Glen Rock Office,district,(202) 225-4465,,,,65 Harrisontown Road Suite 104,,Glen Rock,NJ,07452,"NJ05 Josh Gottheimer, D"
54,"""NJ05 Josh Gottheimer, D""","Washington, DC Office",capitol,(202) 225-4465,,,,213 Cannon House Office Building,,Washington,DC,20515,"NJ05 Josh Gottheimer, D"
55,"""NJ06 Frank  Pallone, Jr., D""",New Brunswick Office,district,(732) 249-8892,,,,67/69 Church St.,,New Brunswick,NJ,08901,"NJ06 Frank  Pallone, Jr., D"
56,"""NJ06 Frank  Pallone, Jr., D""",Long Branch Office,district,(732) 571-1140,,,,504 Broadway,,Long Branch,NJ,07740,"NJ06 Frank  Pallone, Jr., D"
57,"""NJ06 Frank  Pallone, Jr., D""","Washington, DC Office",capitol,(202) 225-4671,,,,237 Cannon HOB,,Washington,NJ,20515,"NJ06 Frank  Pallone, Jr., D"
58,"""AR01 Eric A. """"Rick"""" Crawford, R""",Jonesboro Office,district,(870) 203-0540,,,,2400 Highland Drive,Suite 300,Jonesboro,AR,72401,"AR01 Eric A. ""Rick"" Crawford, R"
59,"""AR01 Eric A. """"Rick"""" Crawford, R""",Cabot Office,district,(501) 843-3043,,,,112 S. 1st,,Cabot,AR,72023,"AR01 Eric A. ""Rick"" Crawford, R"
60,"""AR01 Eric A. """"Rick"""" Crawford, R""",Mountain Home Office ,district,(870) 424-2075,,,,1001 Highway 62 E,Suite 9,Mountain Home,AR,72653,"AR01 Eric A. ""Rick"" Crawford, R"
61,"""AZ06 David Schweikert, R""",Scottsdale Office,district,(480) 946-2411,,,,10603 North Hayden Rd.,Ste. 108,Scottsdale,AZ,85260,"AZ06 David Schweikert, R"
62,"""CA01 Doug LaMalfa, R""",Auburn District Office,district,(530) 878-5035,,,,2399 Rickenbacker Way,,Auburn,CA,95602,"CA01 Doug LaMalfa, R"
63,"""CA42 Ken Calvert, R""",District Office,district,(951) 277-0042,,,,400 S. Vicentia Avenue,Suite 125,Corona,CA,92882,"CA42 Ken Calvert, R"
64,"""CA01 Doug LaMalfa, R""",Oroville District Office,district,(530) 534-7100,,,,2862 Olive Highway,Suite D,Oroville,CA,95966,"CA01 Doug LaMalfa, R"
65,"""CA01 Doug LaMalfa, R""",Redding District Office,district,(530) 223-5898,,,,2885 Churn Creek Rd.,Suite C,Redding,CA,96002,"CA01 Doug LaMalfa, R"
66,"""AR02 J. French Hill, R""",Conway Office,district,(501) 358-3481,,,,1105 Deer Street,Suite 12,Conway,AR,72032,"AR02 J. French Hill, R"
67,"""AR02 J. French Hill, R""",Little Rock Office,district,(501) 324-5941,,,,1501 N. University Ave.,Suite 150,Little Rock,AR,72207,"AR02 J. French Hill, R"
68,"""UT01 Rob Bishop, R""",Ogden office,district,(801) 625-0107,,,,1017 Federal Building,324 25th Street ,Ogden,UT,84401,"UT01 Rob Bishop, R"
69,"""UT01 Rob Bishop, R""",Brigham City office,district,(801) 625-0107,,,,6 North Main Street,,Brigham City,UT ,84302,"UT01 Rob Bishop, R"
70,"""UT02 Chris Stewart, R""",Salt Lake City District Office,district,(801) 364-5550,,,,420 East South Temple #390,,Salt Lake City,UT,84111,"UT02 Chris Stewart, R"
71,"""UT02 Chris Stewart, R""",St. George District Office,district,(435) 627-1500,,,,253 West St. George Boulevard,Suite 100,St. George,UT,84770,"UT02 Chris Stewart, R"
72,"""UT03 Jason Chaffetz, R""","PROVO, UT OFFICE",district,(801) 851-2500,,,,51 S University Ave. ,Suite 318 ,Provo,UT,84601,"UT03 Jason Chaffetz, R"
73,"""NC12 Alma S. Adams, D""",Charlotte District Office,district,(704) 344-9950,,,,321 West 11th Street,Suites 100 & 200,Charlotte,NC,28202,"NC12 Alma S. Adams, D"
74,"""UT04 Mia B. Love, R""",State Offices,district,(801) 486-1236,,,,"9067 South 1300 West, Suite 101",,West Jordan,UT,84088,"UT04 Mia B. Love, R"
75,"""VA01 Robert J. Wittman, R""",Yorktown Office,district,(757) 874-6687,,,,401 Main Street ,P.O. Box 494,Yorktown,VA,23690,"VA01 Robert J. Wittman, R"
76,"""NC12 Alma S. Adams, D""",Greensboro District Office,district,(336) 275-9950,,,,1600 E. Wendover Ave,Suite I,Greensboro,NC,27405,"NC12 Alma S. Adams, D"
77,"""VA01 Robert J. Wittman, R""",Tappahannock Office,district,(804) 443-0668,,,,508 Church Lane,P.O. Box 3106,Tappahannock,VA,22560,"VA01 Robert J. Wittman, R"
78,"""VA01 Robert J. Wittman, R""",Stafford Office,district,(540) 659-2734,,,,95 Dunn Drive,Ste. 201,Stafford,VA,22556,"VA01 Robert J. Wittman, R"
79,"""ND00 Kevin Cramer, R""",Bismarck,district,(701) 224-0355,,,,220 East Rosser Avenue,328 Federal Building,Bismarck,ND ,58501,"ND00 Kevin Cramer, R"
80,"""VA02 Scott Taylor, R""",,district,(757) 222-6739,,,,P.O. Box 66528,,VA BEACH,VA,23466,"VA02 Scott Taylor, R"
81,"""ND00 Kevin Cramer, R""",Fargo,district,(701) 356-2216,,,,3217 Fiechtner Drive,Suite D,Fargo,ND,58103,"ND00 Kevin Cramer, R"
82,"""ND00 Kevin Cramer, R""",Grand Forks,district,(701) 738-4880,,,,4200 James Ray Drive,Office 600,Grand Forks,ND,58202,"ND00 Kevin Cramer, R"
83,"""ND00 Kevin Cramer, R""",Minot,district,(701) 839-0255,,,,315 Main Street,Suite 203,Minot,ND,58701,"ND00 Kevin Cramer, R"
84,"""NE01 Jeff Fortenberry, R""",Fremont Office,district,(402) 727-0888,,,,P.O. Box 377,641 N. Broad Street,Fremont,NE, 68026,"NE01 Jeff Fortenberry, R"
85,"""NE01 Jeff Fortenberry, R""",Lincoln Office,district,(402) 438-1598,,,,301 South 13th Street,Suite 100,Lincoln,NE,68508,"NE01 Jeff Fortenberry, R"
86,"""NE01 Jeff Fortenberry, R""",Norfolk Office,district,(402) 379-2064,,,,506 West Madison Avenue,Suite 2,Norfolk,NE ,68701,"NE01 Jeff Fortenberry, R"
87,"""NE02 Don Bacon, R""",OMAHA OFFICE,district,,,,,13906 Gold Circle,Suite 101,Omaha,NE,68144,"NE02 Don Bacon, R"
88,"""NE03 Adrian Smith, R""",Grand Island,district,(308) 384-3900,,,,1811 West Second Street,Suite 275,Grand Island,NE,68803,"NE03 Adrian Smith, R"
89,"""NE03 Adrian Smith, R""",Scottsbluff,district,(308) 633-6333,,,,416 Valley View Drive,Suite 600,Scottsbluff,NE,69361,"NE03 Adrian Smith, R"
90,"""NH01 Carol Shea-Porter, D""",DOVER OFFICE,district,,,,,660 Central Ave,,Dover,NH,03820,"NH01 Carol Shea-Porter, D"
91,"""GA09 Doug Collins, R""",Gainesville,district,(770) 297-3388,,,, 210 Washington St. NW,Suite 202,Gainesville,GA,30501,"GA09 Doug Collins, R"
92,"""GA10 Jody B. Hice, R""",MILLEDGEVILLE OFFICE,district,(478) 457-0007,,,,3015 Heritage Road,Suite 6 ,Milledgeville,GA,31061,"GA10 Jody B. Hice, R"
93,"""GA10 Jody B. Hice, R""",MONROE OFFICE,district,(770) 207-1776,,,,100 Court Street,,Monroe,GA,30655,"GA10 Jody B. Hice, R"
94,"""GA10 Jody B. Hice, R""",THOMSON OFFICE,district,(770) 207-1776,,,,210 Railroad Street,City-County Administration Room 2401,Thomson,GA,30824,"GA10 Jody B. Hice, R"
95,"""VA03 Robert C. """"Bobby"""" Scott, D""",Hampton Roads,district,(757) 380-1000,,,,2600 Washington Ave.,Suite 1010,Newport News,VA,23607,"VA03 Robert C. ""Bobby"" Scott, D"
96,"""VA06 Bob Goodlatte, R""", Harrisonburg Office,district,(540) 432-2391,,,,70 North Mason Street,,Harrisonburg,VA,22802,"VA06 Bob Goodlatte, R"
97,"""VA06 Bob Goodlatte, R""",Lynchburg Office,district,(434) 845-8306,,,,"916 Main Street, Suite 300",,Lynchburg,VA,24504,"VA06 Bob Goodlatte, R"
98,"""VA06 Bob Goodlatte, R""",Roanoke Office,district,(540) 857-2672,,,,"10 Franklin Road SE, Suite 540",,Roanoke,VA,24011,"VA06 Bob Goodlatte, R"
99,"""VA06 Bob Goodlatte, R""",Staunton Office,district,(540) 885-3861,,,,"117 South Lewis Street, Suite 215",,Staunton,VA,(540) 885-3861,"VA06 Bob Goodlatte, R"
100,"""AR03 Steve Womack, R""",Rogers Office,district,(479) 464-0446,,,,"3333 Pinnacle Hills, Suite 120",,Rogers,Arkansas,72758,"AR03 Steve Womack, R"
101,"""AR03 Steve Womack, R""",Harrison Office,district,(870) 741-6900,,,,"303 North Main Street, Suite 102",,Harrison,Arkansas,72601,"AR03 Steve Womack, R"
102,"""AR03 Steve Womack, R""",Fort Smith Office,district,(479) 424-1146,,,,423 North 6th Street,,Fort Smith,Arkansas,72902,"AR03 Steve Womack, R"
103,"""AR04 Bruce Westerman, R""",El Dorado Office,district,(870) 864-8946,,,,101 N. Washington Ave.,Suite 406,El Dorado,AR,71730,"AR04 Bruce Westerman, R"
104,"""AR04 Bruce Westerman, R""",Hot Springs Office,district,(501) 609-9796,,,,101 Reserve St.,Suite 200,Hot Springs,AR,71901,"AR04 Bruce Westerman, R"
105,"""AR04 Bruce Westerman, R""",Ozark Office,district,(479) 667-0075,,,,211 W. Commercial St.,,Ozark,AR,72949,"AR04 Bruce Westerman, R"
106,"""AR04 Bruce Westerman, R""",Pine Bluff Office,district,(870) 536-8178,,,,100 E. 8th Ave.,Room 2521,Pine Bluff,AR,71601,"AR04 Bruce Westerman, R"
107,"""AS00 Aumua Amata Coleman Radewagen, R""",American Samoa Office,district,(684) 633-3601,,,,PO Box 5859,Located at 1 Fagatogo Square,Pago Pago,AS,96799,"AS00 Aumua Amata Coleman Radewagen, R"
108,"""VA07 Dave Brat, R""",Glen Allen District Office,district,(804) 747-4073,,,,"4201 Dominion Blvd, Suite 110",,Glen Allen,VA,23060,"VA07 Dave Brat, R"
109,"""AZ02 Martha McSally, R""",Sierra Vista Office,district,(520) 459-3115,,,,77 Calle Portal,Suite B-160,Sierra Vista,AZ,85635,"AZ02 Martha McSally, R"
110,"""AZ02 Martha McSally, R""",Tucson Office,district,(520) 881-3588,,,,4400 E. Broadway Blvd,Suite 510,Tucson,AZ,85711,"AZ02 Martha McSally, R"
111,"""AZ03 Raul M. Grijalva, D""",Avondale Office,district,(623) 536-3388,,,,"1412 N Central Ave, Suite B",,Avondale,AZ,85323,"AZ03 Raul M. Grijalva, D"
112,"""AZ03 Raul M. Grijalva, D""",Somerton Office,district,(928) 343-7933,,,,146 N. State Avenue,,Somerton,AZ,85350,"AZ03 Raul M. Grijalva, D"
113,"""AZ03 Raul M. Grijalva, D""",Tucson Office,district,(520) 622-6788,,,,738 N 5th Ave. Suite 110,,Tucson,AZ,85705,"AZ03 Raul M. Grijalva, D"
114,"""AZ04 Paul A. Gosar, R""",Gold Canyon Office,district,(480) 882-2697,,,,"6499 S. Kings Ranch Road, #4",,Gold Canyon,AZ,85118,"AZ04 Paul A. Gosar, R"
115,"""AZ04 Paul A. Gosar, R""",Prescott Office,district,(928) 445-1683,,,,122 N. Cortez Street,Suite 104,Prescott,AZ,86301,"AZ04 Paul A. Gosar, R"
116,"""AZ07 Ruben Gallego, D""",Phoenix Office,district,(602) 256-0551,,,,411 N. Central Ave,Suite 150,Phoenix,AZ,85004,"AZ07 Ruben Gallego, D"
117,"""VA07 Dave Brat, R""",Spotsylvania District Office,district,(540) 507-7216,,,,9104 Courthouse Rd.,PO Box 99,Spotsylvania,VA,22553,"VA07 Dave Brat, R"
118,"""AZ08 Trent Franks, R""",Glendale Office,district,(623) 776-7911,,,,7121 West Bell Road,Suite 200,Glendale,AZ,85308,"AZ08 Trent Franks, R"
119,"""VA08 Donald S. Beyer, Jr., D""",District Office,district,(703) 658-5403,,,,5285 Shawnee Road,Suite 250,Alexandria,VA,22312,"VA08 Donald S. Beyer, Jr., D"
120,"""AZ09 Kyrsten Sinema, D""",Phoenix District Office,district,(602) 956-2285,,,,"2944 N. 44th Street, Suite 150",,Phoenix,AZ,85018,"AZ09 Kyrsten Sinema, D"
121,"""CA02 Jared Huffman, D""",Eureka District Office,district,(707) 407-3585,,,,317 Third St.,Suite 1,Eureka,CA,95501,"CA02 Jared Huffman, D"
122,"""VA09 H. Morgan Griffith, R""",Abingdon District Office,district,(276) 525-1405,,,,323 West Main Street,,Abingdon,VA,24210,"VA09 H. Morgan Griffith, R"
123,"""CA02 Jared Huffman, D""",Fort Bragg District Office,district,(707) 962-0933,,,,430 North Franklin St.,P.O. Box 2208,Fort Bragg,CA,95437,"CA02 Jared Huffman, D"
124,"""CA02 Jared Huffman, D""",Petaluma District Office,district,(707) 981-8967,,,,"206 G Street, Unit #3",,Petaluma,CA,94952,"CA02 Jared Huffman, D"
125,"""VA09 H. Morgan Griffith, R""",Christiansburg District Office,district,(540) 381-5671,,,,17 West Main Street,,"Christiansburg,",VA,24073,"VA09 H. Morgan Griffith, R"
126,"""CA02 Jared Huffman, D""",San Rafael District Office,district,(415) 258-9657,,,,999 Fifth Ave.,Suite 290,San Rafael,CA,94901,"CA02 Jared Huffman, D"
127,"""VA09 H. Morgan Griffith, R""",Big Stone Gap Office,district,(276) 525-1405,,,,Federal Courthouse,,Big Stone Gap,VA,24219,"VA09 H. Morgan Griffith, R"
128,"""CA02 Jared Huffman, D""",Ukiah District Office,district,(707) 671-7449,,,,559 Low Gap Road,,Ukiah,CA,95482,"CA02 Jared Huffman, D"
129,"""CA03 John Garamendi, D""",Davis Office,district,(530) 753-5301,,,,412 G Street,,Davis,CA,95616,"CA03 John Garamendi, D"
130,"""CA03 John Garamendi, D""",Fairfield Office,district,(707) 438-1822,,,,1261 Travis Blvd. Suite 130,,Fairfield,CA,94533,"CA03 John Garamendi, D"
131,"""CA03 John Garamendi, D""",Yuba City Office,district,(530) 329-8865,,,,795 Plumas Street,,Yuba City,CA,95991,"CA03 John Garamendi, D"
132,"""CA04 Tom McClintock, R""",Roseville District Office,district,(916) 786-5560,,,,"2200A Douglas Blvd, Suite 240",,Roseville,CA,95661,"CA04 Tom McClintock, R"
133,"""CA05 Mike Thompson, D""",Napa District Office,district,(707) 226-9898,,,,2721 Napa Valley Corporate Drive,,Napa,CA,94558,"CA05 Mike Thompson, D"
134,"""CA05 Mike Thompson, D""",Santa Rosa District Office,district,(707) 542-7182,,,,2300 County Center Dr. Suite A100,,Santa Rosa,CA,95403,"CA05 Mike Thompson, D"
135,"""CA05 Mike Thompson, D""",Vallejo District Office,district,(707) 645-1888,,,,985 Walnut Ave,,Vallejo,CA,94592,"CA05 Mike Thompson, D"
136,"""CA06 Doris O. Matsui, D""",Sacramento Office,district,(916) 498-5600,,,,Robert T. Matsui U.S. Courthouse,"501 I Street, Suite 12-600",Sacramento,CA,95814-7305,"CA06 Doris O. Matsui, D"
137,"""CA07 Ami Bera, D""",Sacramento County Office,district,(916) 635-0505,,,,8950 Cal Center Drive,"Building 3, Suite 100",Sacramento,CA,95826,"CA07 Ami Bera, D"
138,"""CA08 Paul Cook, R""",Apple Valley District Office,district,(760) 247-1815,,,,14955 Dale Evans Parkway,Apple Valley Town Hall,Apple Valley,CA,92307,"CA08 Paul Cook, R"
139,"""CA08 Paul Cook, R""",Yucaipa District Office,district,(909) 797-4900,,,,34282 Yucaipa Boulevard,,Yucaipa,CA,92399,"CA08 Paul Cook, R"
140,"""CA09 Jerry McNerney, D""",Antioch Office,district,(925) 754-0716,,,,Antioch Community Center,4703 Lone Tree Way,Antioch,CA,94531,"CA09 Jerry McNerney, D"
141,"""CA09 Jerry McNerney, D""",Stockton Office,district,(209) 476-8552,,,,2222 Grand Canal Blvd. #7,,Stockton,CA,95207,"CA09 Jerry McNerney, D"
142,"""CA10 Jeff Denham, R""",Modesto District Office,district,(209) 579-5458,,,,"4701 Sisk Road, Suite 202",,Modesto,CA,95356,"CA10 Jeff Denham, R"
143,"""CA11 Mark DeSaulnier, D""",Richmond Office,district,(510) 620-1000,,,,440 Civic Center Plaza,2nd Floor,Richmond,CA,94804,"CA11 Mark DeSaulnier, D"
144,"""CA11 Mark DeSaulnier, D""",Walnut Creek Office,district,(925) 933-2660,,,,101 Ygnacio Valley Road,Suite #210,Walnut Creek,CA,94596,"CA11 Mark DeSaulnier, D"
145,"""CA12 Nancy Pelosi, D""",San Francisco District Office,district,(415) 556-4862,,,,90 7th Street,Suite 2-800,San Francisco,CA,94103,"CA12 Nancy Pelosi, D"
146,"""CA13 Barbara Lee, D""", Oakland Office,district,510) 763-0370,,,,"1301 Clay Street, Ste. 1000-N",, Oakland,CA,94612,"CA13 Barbara Lee, D"
147,"""CA14 Jackie Speier, D""",San Mateo Office,district,(650) 342-0300,,,,155 Bovet Rd,Suite 780,San Mateo,CA,94402,"CA14 Jackie Speier, D"
148,"""CA15 Eric Swalwell, D""",Castro Valley District Office,district,(510) 370-3322,,,,3615 Castro Valley Blvd.,,Castro Valley,CA,94546,"CA15 Eric Swalwell, D"
149,"""CA16 Jim Costa, D""",Fresno Office,district,(559) 495-1620,,,,"855 M Street, Suite 940",,Fresno,CA,93721,"CA16 Jim Costa, D"
150,"""CA16 Jim Costa, D""",Merced Office,district,(209) 384-1620,,,,"2222 M St, Suite 305",,Merced,CA,95340,"CA16 Jim Costa, D"
151,"""CA17 Ro Khanna, D""",Santa Clara Office,district,(408) 436-2720,,,,900 Lafayette Street,Suite 206,Santa Clara,CA,95050,"CA17 Ro Khanna, D"
152,"""CA18 Anna G. Eshoo, D""",Palo Alto Office,district,(650) 323-2984,,,,698 Emerson Street,,Palo Alto,CA,94301,"CA18 Anna G. Eshoo, D"
153,"""CA19 Zoe Lofgren, D""", San Jose Office,district,(408) 271-8700,,,,"635 North 1st Street, Suite B",,San Jose,CA,95112,"CA19 Zoe Lofgren, D"
154,"""CA20 Jimmy Panetta, D""",Salinas Office,district,(831) 424-2229,,,,100 W Alisal St,,Salinas,CA,93901,"CA20 Jimmy Panetta, D"
155,"""CA20 Jimmy Panetta, D""",Santa Cruz Office,district,(831) 429-1976,,,,"701 Ocean St, Room 318C",,Santa Cruz,CA,95060,"CA20 Jimmy Panetta, D"
156,"""CA21 David G. Valadao, R""",Hanford Office,district,(559) 582-5526,,,,101 North Irwin Street,Suite 110B,Hanford,CA,93230,"CA21 David G. Valadao, R"
157,"""CA21 David G. Valadao, R""",Bakersfield Office,district,(661) 864-7736,,,,2700 M Street,Suite 250 B,Bakersfield,CA,93301,"CA21 David G. Valadao, R"
