State,Member Full,Last Name,First Name,Party,District Office Address Line 1,District Address Line 2,District Address Line 3,District Tel #,DC Office Address,DC Tel #,Email,Website,Class,bioguide_id,Photo
NC,Burr (R-NC),Burr,Richard,R,2000 West First Street,Suite 508,"Winston-Salem, NC 27104",(336) 631-5125,217 Russell Senate Office Building,(202) 224-3154,https://www.burr.senate.gov/contact/email,http://www.burr.senate.gov,Class III,B001135,NC_Burr.jpg (https://dl.airtable.com/MNIIORXvRjWq8yT5rpCi_NC_Burr.jpg)
NC,Tillis (R-NC),Tillis,Thom,R,9300 Harris Corners Pkwy,Suite 170,"Charlotte, NC 28269",(704) 509-9087,185 Dirksen Senate Office Building,(202) 224-6342,https://www.tillis.senate.gov/public/index.cfm/email-me,http://www.tillis.senate.gov,Class II,T000476,NC_Tillis.jpg (https://dl.airtable.com/x2UDrmNQTYyJh90kbhYZ_NC_Tillis.jpg)
ND,Heitkamp (D-ND),Heitkamp,Heidi,D,228 Federal Building,220 East Rosser Avenue,"Bismarck, ND 58501",(701) 258-4648,110 Hart Senate Office Building,(202) 224-2043,http://www.heitkamp.senate.gov/public/index.cfm/contact,http://www.heitkamp.senate.gov/,Class I,H001069,ND_Heitkamp.jpg (https://dl.airtable.com/h2Ie1DUsQQW0erORxMew_ND_Heitkamp.jpg)
ND,Hoeven (R-ND),Hoeven,John,R,"U.S. Federal Building, 220 East Rosser Ave.",Room 312,"Bismarck, ND 58501",(701) 250-4618,338 Russell Senate Office Building,(202) 224-2551,http://www.hoeven.senate.gov/public/index.cfm/email-the-senator,http://www.hoeven.senate.gov,Class III,H001061,ND_Hoeven.jpg (https://dl.airtable.com/XH0K8PWuQJqMqaujfE1i_ND_Hoeven.jpg)
NE,Fischer (R-NE),Fischer,Deb,R,440 North 8th Street,Suite 120,"Lincoln, Nebraska 68508",(402) 441-4600,454 Russell Senate Office Building,(202) 224-6551,http://www.fischer.senate.gov/public/index.cfm/contact,http://www.fischer.senate.gov,Class I,F000463,NE_Fischer.jpg (https://dl.airtable.com/Gzd77HxQQa2iZmLG6wWW_NE_Fischer.jpg)
NE,Sasse (R-NE),Sasse,Ben,R,1128 Lincoln Mall,Suite 305,"Lincoln, NE 68508",(402) 476-1400,386A Russell Senate Office Building,(202) 224-4224,http://www.sasse.senate.gov/public/index.cfm/email-ben,http://www.sasse.senate.gov,Class II,S001197,NE_Sasse.jpg (https://dl.airtable.com/PsD1FQAR2SXzocgjv1qA_NE_Sasse.jpg)
NH,Shaheen (D-NH),Shaheen,Jeanne,D,2 Wall Street,Suite 220,"Manchester, NH 03101",(603) 647-7500,506 Hart Senate Office Building,(202) 224-2841,http://www.shaheen.senate.gov/contact/,http://www.shaheen.senate.gov,Class II,S001181,NH_Shaheen.jpg (https://dl.airtable.com/jGztH8ibQa61I4EOg4Zq_NH_Shaheen.jpg)
NJ,Booker (D-NJ),Booker,Cory A.,D,"One Port Center, 2 Riverside Drive",Suite 505,"Camden, NJ 08101",(856) 338-8922,359 Dirksen Senate Office Building,(202) 224-3224,https://www.booker.senate.gov/?p=contact,http://www.booker.senate.gov,Class II,B001288,NJ_Booker.jpg (https://dl.airtable.com/7BcJcPU0RUOythJJYXPy_NJ_Booker.jpg)
NJ,Menendez (D-NJ),Menendez,Robert,D,One Gateway Center,Suite 1100,"Newark, New Jersey 07102",(973) 645-3030,528 Hart Senate Office Building,(202) 224-4744,https://www.menendez.senate.gov/contact,http://www.menendez.senate.gov/,Class I,M000639,NJ_Menendez.jpg (https://dl.airtable.com/wpc9aYspT1WlDu5yYMga_NJ_Menendez.jpg)
NM,Heinrich (D-NM),Heinrich,Martin,D,400 Gold Avenue SW,Ste. 1080,"Albuquerque, New Mexico 87102",(505) 346-6601,303 Hart Senate Office Building,(202) 224-5521,http://www.heinrich.senate.gov/contact,http://www.heinrich.senate.gov/,Class I,H001046,NM_Heinrich.jpg (https://dl.airtable.com/VOLB1C8Qj6vh61RA0OJg_NM_Heinrich.jpg)
NM,Udall (D-NM),Udall,Tom,D,400 Gold Ave. SW,Suite 300,"Albuquerque, NM 87102",(505) 346-6791,531 Hart Senate Office Building,(202) 224-6621,https://www.tomudall.senate.gov/?p=contact,http://www.tomudall.senate.gov,Class II,U000039,NM_Tomudall.jpg (https://dl.airtable.com/BSfCei69TIeitSJBIq1h_NM_Tomudall.jpg)
NV,Heller (R-NV),Heller,Dean,R,8930 West Sunset Road,Suite 230,"Las Vegas, NV 89148",(702) 388-6605,324 Hart Senate Office Building,(202) 224-6244,http://www.heller.senate.gov/public/index.cfm/contact-form,http://www.heller.senate.gov/,Class I,H001041,NV_Heller.jpeg (https://dl.airtable.com/5lrP9mQiSg2p0lwLMzMT_NV_Heller.jpeg)
NY,Gillibrand (D-NY),Gillibrand,Kirsten E.,D,"Leo W. O’Brien Federal Office Building, 11A Clinton Avenue",Room 821,"Albany, NY 12207",(518) 431-0120,478 Russell Senate Office Building,(202) 224-4451,http://www.gillibrand.senate.gov/contact/,http://www.gillibrand.senate.gov,Class I,G000555,NY_Gillibrand.jpg (https://dl.airtable.com/91iwh9e9QMuXfmU8mpPM_NY_Gillibrand.jpg)
NY,Schumer (D-NY),Schumer,Charles E.,D,Leo O'Brien Building,Room 420,"Albany, NY 12207",(518) 431-4070,322 Hart Senate Office Building,(202) 224-6542,https://www.schumer.senate.gov/contact/email-chuck,http://www.schumer.senate.gov/,Class III,S000148,NY_Schumer.jpg (https://dl.airtable.com/euFYTcriQ3GavJsohg6U_NY_Schumer.jpg)
OH,Brown (D-OH),Brown,Sherrod,D,801 West Superior Ave.,Suite 1400,"Cleveland, OH 44113",(216) 522-7272,713 Hart Senate Office Building,(202) 224-2315,http://www.brown.senate.gov/contact/,http://www.brown.senate.gov/,Class I,B000944,OH_Brown.jpeg (https://dl.airtable.com/qxvAJFGSGyGJ6Cb5AbZA_OH_Brown.jpeg)
OH,Portman (R-OH),Portman,Rob,R,37 West Broad Street,Room 300,"Columbus, OH 43215",(614) 469-6774,448 Russell Senate Office Building,(202) 224-3353,https://www.portman.senate.gov/public/index.cfm/contact?p=contact-form,http://www.portman.senate.gov,Class III,P000449,OH_Portman.jpg (https://dl.airtable.com/CDtSxPaRSEqBCYzUBJRH_OH_Portman.jpg)
OK,Inhofe (R-OK),Inhofe,James M.,R,1924 S. Utica Avenue,Suite 530,"Tulsa, OK 74104-6511",(918) 748-5111,205 Russell Senate Office Building,(202) 224-4721,https://www.inhofe.senate.gov/contact,http://www.inhofe.senate.gov/,Class II,I000024,OK_Inhofe.jpeg (https://dl.airtable.com/hV4h0NrNTGmHdFx9J5nh_OK_Inhofe.jpeg)
OK,Lankford (R-OK),Lankford,James,R,1015 North Broadway Avenue,Suite 310,"Oklahoma City, OK 73102",(405) 231-4941,316 Hart Senate Office Building,(202) 224-5754,http://www.lankford.senate.gov/contact/email,http://www.lankford.senate.gov,Class III,L000575,OK_Lankford.jpg (https://dl.airtable.com/88R7KGqRWqixUEzPsi16_OK_Lankford.jpg)
OR,Merkley (D-OR),Merkley,Jeff,D,121 SW Salmon Street,Ste. 1400,"Portland, OR 97204",(503) 326-3386,313 Hart Senate Office Building,(202) 224-3753,http://www.merkley.senate.gov/contact/,http://www.merkley.senate.gov,Class II,M001176,OR_Merkley.jpg (https://dl.airtable.com/1LEs3uf3TqGp0EfS9aMw_OR_Merkley.jpg)
OR,Wyden (D-OR),Wyden,Ron,D,911 NE 11th Ave.,Suite 630,"Portland, OR, 97232",(503) 326-7525,221 Dirksen Senate Office Building,(202) 224-5244,https://www.wyden.senate.gov/contact/,http://www.wyden.senate.gov/,Class III,W000779,OR_Wyden.jpg (https://dl.airtable.com/8ITzPdMSQze5rtTnGX4a_OR_Wyden.jpg)
PA,Casey (D-PA),Casey,"Robert P., Jr.",D,2000 Market Street,Suite 610,"Philadelphia, PA 19103",(215) 405-9660,393 Russell Senate Office Building,(202) 224-6324,https://www.casey.senate.gov/contact/,http://www.casey.senate.gov/,Class I,C001070,PA_Casey.jpg (https://dl.airtable.com/ngZrW2lsQaOZ5XBfIadE_PA_Casey.jpg)
PA,Toomey (R-PA),Toomey,Patrick J.,R,"United States Federal Building, 17 South Park Row",Suite B-120,"Erie, PA 16501",(814) 453-3010,248 Russell Senate Office Building,(202) 224-4254,https://www.toomey.senate.gov/?p=contact,http://www.toomey.senate.gov/,Class III,T000461,PA_Toomey.jpg (https://dl.airtable.com/ge8FxwRo6ms2AkY4MVQX_PA_Toomey.jpg)
RI,Reed (D-RI),Reed,Jack,D,1000 Chapel View Boulevard,Suite 290,"Cranston, RI 02920-5602",(401) 943-3100,728 Hart Senate Office Building,(202) 224-4642,https://www.reed.senate.gov/contact/,http://www.reed.senate.gov/,Class II,R000122,RI_Reed.jpg (https://dl.airtable.com/Z1xA8IA4RtuTqjRMudCS_RI_Reed.jpg)
RI,Whitehouse (D-RI),Whitehouse,Sheldon,D,170 Westminster St.,Ste. 200,"Providence, RI 02903",(401) 453-5294,530 Hart Senate Office Building,(202) 224-2921,https://www.whitehouse.senate.gov/contact/,http://www.whitehouse.senate.gov/,Class I,W000802,RI_Whitehouse.jpg (https://dl.airtable.com/7WBnSRnTQry9MBJn9Bsm_RI_Whitehouse.jpg)
SC,Graham (R-SC),Graham,Lindsey,R,130 South Main Street,7th Floor,"Greenville, SC 29601",(864) 250-1417,290 Russell Senate Office Building,(202) 224-5972,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,http://www.lgraham.senate.gov/,Class II,G000359,SC_Graham.jpg (https://dl.airtable.com/2pKkKeEdTIiFlfMZ1du5_SC_Graham.jpg)
SC,Scott (R-SC),Scott,Tim,R,1301 Gervais Street,Suite 825,"Columbia, SC 29201",(803) 771-6112,520 Hart Senate Office Building,(202) 224-6121,https://www.scott.senate.gov/contact/email-me,http://www.scott.senate.gov/,Class III,S001184,SC_Scott.jpg (https://dl.airtable.com/xTZ8USMrTy6NDW1MFGMX_SC_Scott.jpg)
